"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Air Force",2.8972528290663,5,0.579450565813261,147,166,104,0.75179424700563,0.24820575299437,0.861718405961848,41
"Akron",3.89331956759244,6,0.648886594598741,175,226,201,0.569015443160655,0.430984556839345,-0.479226908628512,90
"Alabama",2.72203440116273,6,0.453672400193789,76,269,95,0.921779749267638,0.0782202507323625,2.80864409444309,3
"Appalachian State",1.79629855457596,5,0.359259710915192,39,116,113,0.515519918427233,0.484480081572767,0.781301037560208,45
"Arizona",2.61640354457531,7,0.37377193493933,46,193,228,0.402520633100488,0.597479366899512,0.201240887128104,70
"Arizona State",2.94317365202495,6,0.490528942004158,105,238,198,0.60732663686613,0.39267336313387,0.700786169171833,50
"Arkansas",2.73501588421176,6,0.455835980701959,77,210,165,0.639121692379551,0.360878307620449,1.09971427006555,33
"Arkansas State",2.0563571264116,5,0.41127142528232,60,94,170,0.197145152637586,0.802854847362414,-1.07063136322367,107
"Army",3.71681825354694,5,0.743363650709388,195,151,77,0.831477415472026,0.168522584527974,0.44056882381319,60
"Auburn",2.32607834980148,6,0.387679724966914,50,194,96,0.841217996508651,0.158782003491349,2.72122962925042,4
"Ball State",4.13941340099261,6,0.689902233498768,184,168,147,0.578463577852174,0.421536422147826,-0.668631933879565,98
"Baylor",3.57397322222866,5,0.714794644445732,188,213,96,0.868613764512832,0.131386235487168,0.769095600335501,46
"Boise State",2.76266729846612,5,0.552533459693223,133,184,93,0.834399901207088,0.165600098792912,1.40933220756933,26
"Boston College",3.36416258646077,6,0.560693764410128,138,127,142,0.434236524124238,0.565763475875762,-0.758743441715343,100
"Bowling Green",2.3567336638892,6,0.392788943981533,54,109,279,0.0973099994288424,0.902690000571158,-1.77287366731614,120
"Buffalo",3.19223599377388,5,0.638447198754776,173,76,159,0.148114697093325,0.851885302906675,-2.45166250830726,126
"BYU",2.0348696172704,6,0.339144936211733,35,169,155,0.551057026248223,0.448942973751777,1.27147254021894,28
"California",2.64095712274855,6,0.440159520458091,72,254,240,0.53354154096307,0.46645845903693,0.560292123029873,55
"Central Michigan",3.1384607622237,6,0.523076793703951,119,192,170,0.57160970391867,0.428390296081329,0.291197461288319,66
"Charlotte",3.26397059305108,6,0.543995098841846,127,145,244,0.225581707539978,0.774418292460022,-1.91048034781121,122
"Cincinnati",3.30181824861788,6,0.550303041436314,129,138,152,0.442997500240853,0.557002499759147,-0.643833247172764,97
"Clemson",2.31635657226274,6,0.386059428710457,49,232,90,0.904150679939011,0.0958493200609885,3.10854750737132,2
"Colorado",2.79252264722313,6,0.465420441203855,82,233,124,0.816811672931676,0.183188327068323,2.10834739036693,12
"Colorado State",3.07745459460991,6,0.512909099101651,112,149,172,0.415758669290653,0.584241330709347,-0.582902578865989,93
"Connecticut",2.96341239164872,6,0.493902065274787,107,119,141,0.400822724310572,0.599177275689428,-0.55847604578529,92
"Duke",2.92640401354689,6,0.487734002257816,100,147,129,0.576780258611787,0.423219741388213,0.534277538123827,57
"East Carolina",2.61750670161928,6,0.436251116936547,68,168,196,0.409668218560469,0.590331781439531,-0.159497390256472,82
"Eastern Michigan",3.59939511051309,6,0.599899185085515,157,194,178,0.550823078871035,0.449176921128965,-0.294456637286882,87
"Florida",2.82344546772148,5,0.564689093544297,141,142,58,0.893028895497498,0.106971104502502,1.64169900976601,17
"Florida Atlantic",3.44977814963436,6,0.574963024939061,145,136,223,0.236492758869277,0.763507241130723,-2.0308215964187,123
"Florida International",3.55454295688741,6,0.592423826147902,154,122,201,0.234458871635858,0.765541128364142,-2.14778972707226,125
"Florida State",1.99041893795727,6,0.331736489659544,32,227,196,0.586132451510724,0.413867548489276,1.52637577110708,22
"Fresno State",3.15610751575884,6,0.52601791929314,121,141,218,0.262562467338953,0.737437532661047,-1.58073271172512,116
"Georgia",2.46471537711375,6,0.410785896185625,59,160,168,0.471123995454395,0.528876004545605,0.362028595612622,64
"Georgia Southern",3.1176185877679,5,0.623523717553579,167,158,106,0.720309949090535,0.279690050909465,0.48393115768478,59
