"Team","Previous.Score","Score","Rank"
"Air Force",28.2280423280429,28.2280423280429,47
"Akron",17.6241010689988,17.6241010689988,87
"Alabama",57.1587301587299,57.1587301587299,3
"Appalachian State",28.0378495842783,28.0378495842783,51
"Arizona",18.6567541302205,18.6567541302205,82
"Arizona State",25.3665144152875,25.3665144152875,57
"Arkansas",30.9014928193475,30.9014928193475,36
"Arkansas State",12.3328042328042,12.3328042328042,106
"Army",28.4047619047627,28.4047619047627,46
"Auburn",42.9531746031746,42.9531746031746,11
"Ball State",19.0761256883893,19.0761256883893,80
"Baylor",39.7407936507936,39.7407936507936,16
"Boise State",35.266817838247,35.266817838247,27
"Boston College",17.9355631141367,17.9355631141367,85
"Bowling Green",6.45301526472866,6.45301526472866,116
"Buffalo",-0.518065003776374,-0.518065003776374,126
"BYU",27.943602202783,27.943602202783,52
"California",23.779383975811,23.779383975811,64
"Central Michigan",21.2053287981889,21.2053287981889,74
"Charlotte",2.07643613001157,2.07643613001157,122
"Cincinnati",17.3329365079363,17.3329365079363,89
"Clemson",48.4074452004824,48.4074452004824,6
"Colorado",43.5484693877571,43.5484693877571,9
"Colorado State",17.7108843537414,17.7108843537414,86
"Connecticut",18.1319889860708,18.1319889860708,84
"Duke",23.0631519274379,23.0631519274379,71
"East Carolina",14.6677777777862,14.6677777777862,100
"Eastern Michigan",15.138163265306,15.138163265306,98
"Florida",38.6507294028723,38.6507294028723,19
"Florida Atlantic",2.28973113054731,2.28973113054731,121
"Florida International",5.07280531260607,5.07280531260607,119
"Florida State",33.6116402116401,33.6116402116401,30
"Fresno State",3.87220602526884,3.87220602526884,120
"Georgia",23.5373598963396,23.5373598963396,66
"Georgia Southern",19.9935374149676,19.9935374149676,77
"Georgia State",16.1240362811795,16.1240362811795,95
"Georgia Tech",28.9193391642371,28.9193391642371,44
"Hawaii",12.5032393909799,12.5032393909799,105
"Houston",40.4725245653796,40.4725245653796,14
"Idaho",10.3079365079365,10.3079365079365,109
"Illinois",17.2162131519275,17.2162131519275,91
"Indiana",25.1771352985672,25.1771352985672,59
"Iowa",34.20003239391,34.20003239391,29
"Iowa State",14.957191448008,14.957191448008,99
"Kansas",0.874043036843891,0.874043036843891,125
"Kansas State",30.456612244898,30.456612244898,38
"Kent State",13.470602526725,13.470602526725,101
"Kentucky",16.4034391534391,16.4034391534391,94
"Louisiana-Lafayette",8.67698412698533,8.67698412698533,112
"Louisiana-Monroe",6.46772486772214,6.46772486772214,115
"Louisiana Tech",25.0421126228264,25.0421126228264,60
"Louisville",49.4509070294785,49.4509070294785,5
"LSU",40.9191534391532,40.9191534391532,13
"Marshall",5.82721088435366,5.82721088435366,118
"Maryland",28.1047619047712,28.1047619047712,50
"Massachusetts",7.15591188856468,7.15591188856468,114
"Memphis",37.4197656840524,37.4197656840524,20
"Miami (FL)",38.775510204082,38.775510204082,18
"Miami (OH)",9.21849692257956,9.21849692257956,110
"Michigan",61.2545351473971,61.2545351473971,1
"Michigan State",19.7867346938776,19.7867346938776,78
"Middle Tennessee",23.0851473922903,23.0851473922903,70
