"Team","Score","Rank"
"Hawaii",-65.2691127079577,109
"Appalachian State",9.75220655093118,47
"Indiana",-7.88545408178724,61
"Oregon State",-12.8806257111545,67
"Rice",-421.499298298087,128
"South Carolina",-57.3462732484414,103
"Tulane",-15.4396745210177,71
"Charlotte",-68.1093727973939,111
"Ball State",-88.2675422882541,114
"Colorado State",-15.4377410777681,70
"Kansas State",-9.94779359784906,63
"Toledo",40.2880581690955,26
"Army",-219.768785087218,126
"Boise State",158.904338939181,7
"Bowling Green",-49.1887462005068,102
"BYU",23.1393145753757,38
"Fresno State",-107.225900513623,117
"UCLA",-2.21129241935897,55
"Clemson",502.22729606341,1
"Georgia Tech",12.9319385603432,45
"Georgia",6.16307637646597,50
"Kent State",-122.005629721931,119
"LSU",18.9577653611241,43
"Louisiana Tech",-18.4623308669062,75
"Massachusetts",-75.4866679901197,113
"Miami (OH)",-75.1475279619887,112
"Missouri",-5.52528577137738,58
"New Mexico State",-247.956791548139,127
"Northern Illinois",-64.9998336456172,108
"Oklahoma",19.7965628588294,42
"Rutgers",-28.0033189305014,81
"San Jose State",-149.249967871623,122
"South Alabama",-122.949881235156,120
"USC",28.3722907521468,34
"SMU",-36.0508639724159,88
"Southern Miss",-27.1342118957537,78
"Texas State",-98.3040331875398,115
"Western Michigan",136.887690467201,9
"Notre Dame",-45.0085296020346,99
"Ole Miss",45.0175992564413,23
"Louisville",204.599770476955,5
"Maryland",-4.46982807785276,56
"Akron",-12.3900308378865,66
"Arkansas State",-37.3099966589445,90
"Arkansas",31.0846785522621,30
"Boston College",-17.8253667124913,74
"California",7.56192761433285,48
"UCF",-7.86695784735251,60
"Central Michigan",-6.43607741781593,59
"Cincinnati",-27.8907849472464,80
"Connecticut",-27.4179887394151,79
"Eastern Michigan",7.08908589039002,49
"Florida Atlantic",-105.964103439038,116
"Georgia Southern",-9.72519208521794,62
"Georgia State",-59.9282336166631,104
"Idaho",-16.8094448131907,72
"Iowa State",-63.3575146079147,106
"Kentucky",-12.0476915750994,65
"Middle Tennessee",-39.0837795581085,93
"North Carolina",58.7698130631658,17
"UNLV",-63.0299181590375,105
"Nevada",-128.18786639149,121
"New Mexico",-64.6864914608762,107
"North Carolina State",24.9319870185566,36
"Louisiana-Monroe",-32.4551477459099,85
"Ohio",-31.8315497029291,84
"Old Dominion",-4.97747976555081,57
"Penn State",24.6227366831906,37
"Texas Tech",-10.3808149340166,64
"UTEP",-201.483284814691,124
"UTSA",-17.7582362404654,73
"Troy",27.8580744656037,35
"Tulsa",1.25508601854323,52
"Utah State",-29.1121812319394,83
"Virginia Tech",53.5207586824275,19
"Virginia",-37.6329185749808,91
"Wake Forest",15.1497155776526,44
"Washington State",22.3377910927516,39
"Western Kentucky",-19.0834430079538,76
"Wyoming",48.5847738793839,21
"Houston",62.3177384459126,16
"Alabama",385.691766141311,2
"Arizona State",32.8956468062299,28
"Baylor",99.5998606150047,14
"Colorado",43.0044708908694,25
"East Carolina",-48.2833455263177,101
"Florida International",-118.677627583561,118
"Florida State",111.6083104999,11
"Kansas",-42.4832262518971,94
"Miami (FL)",34.8911842920005,27
"Michigan State",-34.9808278331345,86
"Mississippi State",-46.440414262595,100
"North Texas",-43.466265347248,96
"Ohio State",152.233261874023,8
"Oregon",-14.2890562713688,69
"Pittsburgh",21.4133547063163,40
"San Diego State",-65.4851136477383,110
"South Florida",56.7959626013378,18
"Temple",-44.662701974621,98
"Texas A&M",223.082151240386,4
"Navy",85.9976855873393,15
"Vanderbilt",-38.2516018994559,92
"Buffalo",-204.752872548473,125
"Duke",-42.6514573407453,95
"Texas",-24.2048906943674,77
"Utah",43.2914594515666,24
"Florida",47.063346288219,22
"Iowa",-1.85089476443829,54
"Nebraska",182.74914090648,6
"Oklahoma State",30.7060317596774,31
"Syracuse",-14.0623929858675,68
"TCU",0.36973008730476,53
"Wisconsin",21.2568600507813,41
"Louisiana-Lafayette",-196.030509966008,123
"Stanford",28.4621999152032,33
"Air Force",49.1222159511883,20
"Washington",114.167584193278,10
"Illinois",-29.0291247033588,82
"Marshall",-44.4038522672533,97
"Memphis",28.9573672328396,32
"Minnesota",11.0534273452048,46
"Northwestern",2.98357398310233,51
"Purdue",-35.8489330546464,87
"Tennessee",110.946672729598,12
"Arizona",-36.3139593818806,89
"Auburn",32.2335830071555,29
"Michigan",243.844624992845,3
"West Virginia",101.322065146702,13
