"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Air Force",0.683026129972428,0.841513064986214,0.816183119728893,14783,16967,0.465606299212598,0.319791796518552,68,70,0.526851698149032,58
"Akron",0.459559913045209,0.729779956522605,0.852823307159122,11485,20265,0.361732283464567,0.225132535240638,92,91,0.381859697742172,83
"Alabama",0.932527324646516,0.966263662323258,0.915053618626296,30050,1700,0.946456692913386,0.836840975613154,2,3,0.884360566228257,3
"Appalachian State",0.624286710741175,0.812143355370587,0.897658632457275,18363,13387,0.578362204724409,0.421641948584885,46,49,0.566384971591586,46
"Arizona",0.365389436294804,0.682694718147402,0.897634553742353,12909,18841,0.406582677165354,0.249158080287115,85,84,0.354185014782222,94
"Arizona State",0.538473973520573,0.769236986760287,0.887346609101484,16738,15012,0.527181102362205,0.359843188177048,61,60,0.494269070449324,64
"Arkansas",0.629781541547661,0.814890770773831,0.91624289351565,19003,12747,0.59851968503937,0.446877467407256,40,45,0.584195136286707,39
"Arkansas State",0.248638232982969,0.624319116491484,0.899859649268057,8463,23287,0.266551181102362,0.149748341910971,105,104,0.238010069118577,112
"Army",0.900717882152333,0.950358941076167,0.75,12461,19289,0.392472440944882,0.279742270033467,76,86,0.581183088057794,41
"Auburn",0.841217996508651,0.920608998254325,0.946735443490703,27345,4405,0.861259842519685,0.750650969626073,5,6,0.818027209504547,5
"Ball State",0.599009039279796,0.799504519639898,0.773594953069028,9167,22583,0.288724409448819,0.178573928396506,101,102,0.405168382902658,81
"Baylor",0.901381416100837,0.950690708050418,0.767977415844393,23943,7807,0.754110236220472,0.550582665355768,26,23,0.712863792491678,21
"Boise State",0.80676115855058,0.90338057927529,0.859813210485819,24440,7310,0.769763779527559,0.597905206692366,22,19,0.719030527728275,19
"Boston College",0.434236524124238,0.717118262062119,0.858129750325597,9612,22138,0.302740157480315,0.186300394075091,97,99,0.34933423917943,96
"Bowling Green",0.13199235794462,0.56599617897231,0.932869115500873,5099,26651,0.16059842519685,0.0847960254930546,120,120,0.135620537871398,127
"Buffalo",0.168908600643763,0.584454300321882,0.84013879390458,4380,27370,0.137952755905512,0.0677379389488408,125,125,0.140588697318478,125
"BYU",0.566392061649111,0.783196030824556,0.926059316608369,19832,11918,0.624629921259843,0.453035325250229,37,39,0.557885070782068,48
"California",0.53354154096307,0.766770770481535,0.900658563565358,19443,12307,0.612377952755906,0.422907394031237,45,43,0.524485156176133,60
"Central Michigan",0.577733262665666,0.788866631332833,0.86417636996246,14678,17072,0.462299212598425,0.315158573837802,70,72,0.486942026690798,66
"Charlotte",0.251377515281824,0.625688757640912,0.840239996038421,5278,26472,0.166236220472441,0.0873951552805215,118,118,0.196223701787179,118
"Cincinnati",0.442997500240853,0.721498750120427,0.831047602246192,9686,22064,0.305070866141732,0.182920432249774,100,98,0.347124962298056,97
"Clemson",0.887700620003661,0.943850310001831,0.929739133323226,28307,3443,0.89155905511811,0.782373891356527,4,4,0.847406355101166,4
"Colorado",0.829594426019799,0.914797213009899,0.890927475409948,27130,4620,0.854488188976378,0.696423230449353,7,7,0.777568374717449,11
"Colorado State",0.411576928663905,0.705788464331953,0.887825292630752,12399,19351,0.39051968503937,0.244706214855861,87,87,0.373778833100522,86
"Connecticut",0.369273564959516,0.684636782479758,0.878503975578192,13590,18160,0.428031496062992,0.257442169381129,83,79,0.358949361949575,92
"Duke",0.530160955198555,0.765080477599277,0.915854033860758,13929,17821,0.438708661417323,0.307404054739135,72,74,0.469936253415153,73
