"Team","Previous.Score","Score","Rank"
"Air Force",1653.82766709332,1653.82766709332,54
"Akron",1657.0486577916,1657.0486577916,53
"Alabama",2143.18107519308,2143.18107519308,2
"Appalachian State",1771.35349319445,1771.35349319445,26
"Arizona",1500.32409944724,1500.32409944724,99
"Arizona State",1633.73316850873,1633.73316850873,58
"Arkansas",1579.76922252997,1579.76922252997,76
"Arkansas State",1490.47072576665,1490.47072576665,100
"Army",1517.75441995616,1517.75441995616,88
"Auburn",1883.92278244516,1883.92278244516,10
"Ball State",1510.142294027,1510.142294027,90
"Baylor",1828.72410114453,1828.72410114453,20
"Boise State",1912.99428998462,1912.99428998462,8
"Boston College",1465.41540951485,1465.41540951485,104
"Bowling Green",1357.84696944684,1357.84696944684,119
"Buffalo",1204.02115517532,1204.02115517532,126
"BYU",1746.32162046634,1746.32162046634,30
"California",1662.68958016164,1662.68958016164,52
"Central Michigan",1632.15522478785,1632.15522478785,59
"Charlotte",1370.70987469214,1370.70987469214,114
"Cincinnati",1510.04579532573,1510.04579532573,91
"Clemson",2049.42215306764,2049.42215306764,3
"Colorado",1854.56095271347,1854.56095271347,17
"Colorado State",1624.64784239996,1624.64784239996,61
"Connecticut",1553.22752515571,1553.22752515571,82
"Duke",1504.75717876833,1504.75717876833,93
"East Carolina",1359.06719089337,1359.06719089337,118
"Eastern Michigan",1586.32112231911,1586.32112231911,73
"Florida",1873.70100895889,1873.70100895889,11
"Florida Atlantic",1323.60449942225,1323.60449942225,122
"Florida International",1370.48653164148,1370.48653164148,115
"Florida State",1774.25244723659,1774.25244723659,25
"Fresno State",1276.20560395328,1276.20560395328,124
"Georgia",1588.88618511523,1588.88618511523,72
"Georgia Southern",1501.32912501647,1501.32912501647,98
"Georgia State",1523.87346582501,1523.87346582501,86
"Georgia Tech",1600.39247789409,1600.39247789409,68
"Hawaii",1504.68298161228,1504.68298161228,94
"Houston",1738.79728040057,1738.79728040057,34
"Idaho",1503.0550615919,1503.0550615919,96
"Illinois",1420.35224069862,1420.35224069862,109
"Indiana",1624.62657282136,1624.62657282136,62
"Iowa",1722.22436181847,1722.22436181847,36
"Iowa State",1449.92812459948,1449.92812459948,107
"Kansas",1187.60483512451,1187.60483512451,128
"Kansas State",1620.02703422025,1620.02703422025,66
"Kent State",1450.36208330506,1450.36208330506,106
"Kentucky",1552.33523057332,1552.33523057332,83
"Louisiana-Lafayette",1477.79690863219,1477.79690863219,102
"Louisiana-Monroe",1363.01538390284,1363.01538390284,117
"Louisiana Tech",1672.75135687557,1672.75135687557,50
"Louisville",2030.62810631092,2030.62810631092,4
"LSU",1855.16652765391,1855.16652765391,16
"Marshall",1357.43478874404,1357.43478874404,120
"Maryland",1624.812652646,1624.812652646,60
"Massachusetts",1313.54786649725,1313.54786649725,123
"Memphis",1708.17259682921,1708.17259682921,41
"Miami (FL)",1755.43817709036,1755.43817709036,28
"Miami (OH)",1468.44262620237,1468.44262620237,103
"Michigan",2164.63650436327,2164.63650436327,1
"Michigan State",1502.20856915531,1502.20856915531,97
"Middle Tennessee",1740.18988355293,1740.18988355293,33
"Minnesota",1684.88600949885,1684.88600949885,47
"Mississippi State",1579.40416322649,1579.40416322649,78
"Missouri",1622.83966468734,1622.83966468734,64
"Navy",1715.68964595845,1715.68964595845,37
"Nebraska",1817.72776070974,1817.72776070974,22
"Nevada",1337.21123320552,1337.21123320552,121
"New Mexico",1511.99291435904,1511.99291435904,89
"New Mexico State",1382.34703097118,1382.34703097118,111
"North Carolina",1710.39589684678,1710.39589684678,38
"North Carolina State",1796.27789232554,1796.27789232554,24
"North Texas",1558.19981805224,1558.19981805224,80
"Northern Illinois",1598.29406272533,1598.29406272533,69
"Northwestern",1766.8990130469,1766.8990130469,27
"Notre Dame",1580.86525627473,1580.86525627473,74
"Ohio",1560.11162874839,1560.11162874839,79
"Ohio State",2007.18537396416,2007.18537396416,6
"Oklahoma",1750.2401293687,1750.2401293687,29
"Oklahoma State",1677.5210991969,1677.5210991969,49
"Old Dominion",1611.02358676728,1611.02358676728,67
"Ole Miss",1709.9996488099,1709.9996488099,39
"Oregon",1696.24187287577,1696.24187287577,44
"Oregon State",1505.73271496408,1505.73271496408,92
"Penn State",1824.54190976028,1824.54190976028,21
"Pittsburgh",1683.07263609193,1683.07263609193,48
"Purdue",1379.4907247948,1379.4907247948,113
"Rice",1380.89723874719,1380.89723874719,112
"Rutgers",1384.88435559398,1384.88435559398,110
"San Diego State",1746.10988104612,1746.10988104612,31
"San Jose State",1273.17422236007,1273.17422236007,125
"SMU",1596.13784324556,1596.13784324556,70
"South Alabama",1524.88723772461,1524.88723772461,85
"South Carolina",1433.38125261578,1433.38125261578,108
"South Florida",1708.64251158487,1708.64251158487,40
"Southern Miss",1591.31145176242,1591.31145176242,71
"Stanford",1702.78649549772,1702.78649549772,42
"Syracuse",1522.29070441737,1522.29070441737,87
"TCU",1620.16668787872,1620.16668787872,65
"Temple",1686.34037405963,1686.34037405963,46
"Tennessee",1864.64596472498,1864.64596472498,14
"Texas",1624.51106113572,1624.51106113572,63
"Texas A&M",1904.94969886228,1904.94969886228,9
"Texas State",1202.18596497927,1202.18596497927,127
"Texas Tech",1580.0718408218,1580.0718408218,75
"Toledo",1812.2226291125,1812.2226291125,23
"Troy",1858.12718813161,1858.12718813161,15
"Tulane",1486.03430114984,1486.03430114984,101
"Tulsa",1649.89019196464,1649.89019196464,56
"UCF",1692.00062027882,1692.00062027882,45
"UCLA",1646.70372571548,1646.70372571548,57
"UNLV",1451.2942417251,1451.2942417251,105
"USC",1730.10635237056,1730.10635237056,35
"Utah",1663.15411466081,1663.15411466081,51
"Utah State",1579.5639170199,1579.5639170199,77
"UTEP",1363.33354020669,1363.33354020669,116
"UTSA",1503.1785149554,1503.1785149554,95
"Vanderbilt",1525.55114753693,1525.55114753693,84
"Virginia",1556.47166958403,1556.47166958403,81
"Virginia Tech",1838.78583913249,1838.78583913249,19
"Wake Forest",1653.06895561382,1653.06895561382,55
"Washington",1998.95513458734,1998.95513458734,7
"Washington State",1840.74048136028,1840.74048136028,18
"West Virginia",1871.06471147038,1871.06471147038,13
"Western Kentucky",1743.6396050161,1743.6396050161,32
"Western Michigan",2021.35674516055,2021.35674516055,5
"Wisconsin",1872.81843564905,1872.81843564905,12
"Wyoming",1702.33185080606,1702.33185080606,43
