"Team","Previous.Score","Score","Rank"
"Air Force",26.4919278425677,26.4919278425677,55
"Akron",19.1514535501714,19.1514535501714,77
"Alabama",56.2698235544239,56.2698235544239,2
"Appalachian State",28.2947947035956,28.2947947035956,46
"Arizona",18.3330144557809,18.3330144557809,82
"Arizona State",24.7215180342971,24.7215180342971,60
"Arkansas",24.2463196215966,24.2463196215966,61
"Arkansas State",13.013676303855,13.013676303855,105
"Army",24.1794217687074,24.1794217687074,63
"Auburn",46.4460034013575,46.4460034013575,7
"Ball State",17.0220424107143,17.0220424107143,95
"Baylor",40.1847789115648,40.1847789115648,13
"Boise State",35.7355290330418,35.7355290330418,19
"Boston College",16.3122114917409,16.3122114917409,100
"Bowling Green",5.50569993622388,5.50569993622388,117
"Buffalo",-3.27661868318694,-3.27661868318694,128
"BYU",28.8705888605431,28.8705888605431,40
"California",25.2195699708444,25.2195699708444,59
"Central Michigan",20.0152301992236,20.0152301992236,74
"Charlotte",3.77011965513606,3.77011965513606,119
"Cincinnati",17.3454354956263,17.3454354956263,94
"Clemson",47.8384353741683,47.8384353741683,6
"Colorado",42.1277180515026,42.1277180515026,10
"Colorado State",18.8931760204421,18.8931760204421,78
"Connecticut",17.6149473852162,17.6149473852162,93
"Duke",22.2780004859086,22.2780004859086,70
"East Carolina",12.2701247165622,12.2701247165622,109
"Eastern Michigan",16.9345693634596,16.9345693634596,96
"Florida",39.8301445578232,39.8301445578232,14
"Florida Atlantic",2.36909317298951,2.36909317298951,121
"Florida International",4.40926605017003,4.40926605017003,118
"Florida State",32.5735544217682,32.5735544217682,31
"Fresno State",3.34805484693993,3.34805484693993,120
"Georgia",22.9022716229346,22.9022716229346,69
"Georgia Southern",17.7908163265316,17.7908163265316,90
"Georgia State",16.8711431000968,16.8711431000968,97
"Georgia Tech",28.0388119533528,28.0388119533528,50
"Hawaii",14.4789939413258,14.4789939413258,103
"Houston",34.1698007774547,34.1698007774547,23
"Idaho",9.62468112245018,9.62468112245018,112
"Illinois",17.7345167233559,17.7345167233559,92
"Indiana",23.7771956997091,23.7771956997091,65
"Iowa",33.4045360331636,33.4045360331636,26
"Iowa State",14.9289449708444,14.9289449708444,102
"Kansas",1.08193734102008,1.08193734102008,123
"Kansas State",29.4837254346184,29.4837254346184,37
"Kent State",13.4973294005103,13.4973294005103,104
"Kentucky",18.4420553935862,18.4420553935862,81
"Louisiana-Lafayette",12.7014091350812,12.7014091350812,107
"Louisiana-Monroe",0.0829689018448053,0.0829689018448053,125
"Louisiana Tech",25.5038619614523,25.5038619614523,58
"Louisville",54.6704294217636,54.6704294217636,3
"LSU",42.5617711370261,42.5617711370261,9
"Marshall",7.60072987528331,7.60072987528331,115
"Maryland",28.061738236976,28.061738236976,49
"Massachusetts",6.64694940476222,6.64694940476222,116
"Memphis",32.6131164966006,32.6131164966006,30
"Miami (FL)",34.3670634920637,34.3670634920637,22
"Miami (OH)",12.7974728954082,12.7974728954082,106
"Michigan",59.390366861042,59.390366861042,1
"Michigan State",18.2522017735665,18.2522017735665,83
"Middle Tennessee",25.9971301020409,25.9971301020409,57
"Minnesota",29.2750850340136,29.2750850340136,38
"Mississippi State",23.3382076044703,23.3382076044703,66
"Missouri",22.1092687074831,22.1092687074831,71
"Navy",28.7551020408157,28.7551020408157,42
"Nebraska",37.1779640427597,37.1779640427597,18
"Nevada",8.36316167091739,8.36316167091739,113
"New Mexico",17.9674922052146,17.9674922052146,89
"New Mexico State",1.60835762872222,1.60835762872222,122
"North Carolina",28.6520286686103,28.6520286686103,43
"North Carolina State",28.7642128279896,28.7642128279896,41
"North Texas",18.1856778425654,18.1856778425654,87
"Northern Illinois",19.431361607144,19.431361607144,76
"Northwestern",32.1134596695822,32.1134596695822,33
"Notre Dame",24.1666211127264,24.1666211127264,64
"Ohio",17.7887967687063,17.7887967687063,91
"Ohio State",53.4062955539344,53.4062955539344,4
"Oklahoma",32.8725907029482,32.8725907029482,29
"Oklahoma State",29.9440476190477,29.9440476190477,35
"Old Dominion",18.1981899902774,18.1981899902774,84
"Ole Miss",33.9919825072896,33.9919825072896,25
"Oregon",23.1016763848395,23.1016763848395,67
"Oregon State",16.7251731049553,16.7251731049553,98
"Penn State",34.1078109815358,34.1078109815358,24
"Pittsburgh",29.0530247813412,29.0530247813412,39
"Purdue",10.5553328474239,10.5553328474239,111
"Rice",8.19845724004055,8.19845724004055,114
"Rutgers",12.6641156462603,12.6641156462603,108
"San Diego State",28.0737670068018,28.0737670068018,48
"San Jose State",0.233298788271216,0.233298788271216,124
"SMU",20.9369776482019,20.9369776482019,73
"South Alabama",18.603194849369,18.603194849369,80
"South Carolina",15.7631802721089,15.7631802721089,101
"South Florida",33.2011358114672,33.2011358114672,28
"Southern Miss",18.8034297052155,18.8034297052155,79
"Stanford",28.5575649902821,28.5575649902821,44
"Syracuse",18.1939838435371,18.1939838435371,86
"TCU",27.1044703595734,27.1044703595734,53
"Temple",31.4283284742588,31.4283284742588,34
"Tennessee",32.5156098153547,32.5156098153547,32
"Texas",26.6630830903794,26.6630830903794,54
"Texas A&M",39.045617205218,39.045617205218,16
"Texas State",-2.29531098153339,-2.29531098153339,127
"Texas Tech",24.1809807256242,24.1809807256242,62
"Toledo",35.4038508260447,35.4038508260447,20
"Troy",34.6748157596373,34.6748157596373,21
"Tulane",18.1940962099136,18.1940962099136,85
"Tulsa",27.9445912293475,27.9445912293475,51
"UCF",28.3737422052153,28.3737422052153,45
"UCLA",27.4152184311217,27.4152184311217,52
"UNLV",11.6268677113703,11.6268677113703,110
"USC",33.2132835276956,33.2132835276956,27
"Utah",28.2515279549311,28.2515279549311,47
"Utah State",19.5978194849936,19.5978194849936,75
"UTEP",-0.499392614188293,-0.499392614188293,126
"UTSA",16.4902666423714,16.4902666423714,99
"Vanderbilt",21.5787627551022,21.5787627551022,72
"Virginia",18.1846452866857,18.1846452866857,88
"Virginia Tech",38.9588344266275,38.9588344266275,17
"Wake Forest",26.1832027453793,26.1832027453793,56
"Washington",52.8041028911563,52.8041028911563,5
"Washington State",40.7625728862972,40.7625728862972,12
"West Virginia",39.23083782124,39.23083782124,15
"Western Kentucky",29.8997206025266,29.8997206025266,36
"Western Michigan",43.2462190233234,43.2462190233234,8
"Wisconsin",42.033740281827,42.033740281827,11
"Wyoming",22.9476281584068,22.9476281584068,68
