Team,Expected.Wins,Games,Average.Expected.Wins,SoS.Rank,Points.For,Points.Against,Py.Wins,Py.Losses,Score,Rank
Michigan,2.771663289,7,0.395951898,50,341,70,6.504384107,0.495615893,2.277914833,1
Alabama,2.870599468,8,0.358824934,35,351,119,7.125543349,0.874456651,2.136098267,2
Florida,3.030196582,6,0.505032764,106,182,72,5.048748772,0.951251228,2.129266645,3
Washington,4.025749147,7,0.575107021,151,338,102,6.378150838,0.621849162,2.062693062,4
Ohio State,2.913531791,7,0.416218827,63,317,101,5.751358898,1.248641102,2.042497844,5
Clemson,2.69868921,7,0.38552703,45,256,107,5.564748284,1.435251716,2.019872324,6
West Virginia,3.013197191,6,0.502199532,104,198,107,4.645773806,1.354226194,1.997774888,7
Louisville,3.339776683,7,0.477110955,90,368,159,5.797256532,1.202743468,1.994719327,8
Baylor,4.066939698,6,0.677823283,190,262,103,5.127512919,0.872487081,1.982730841,9
Nebraska,3.598764411,7,0.514109202,113,239,124,5.539098969,1.460901031,1.883961776,10
Auburn,2.728149475,7,0.389735639,47,250,99,5.031314158,1.968685842,1.863253964,11
Washington State,2.440547649,7,0.348649664,31,283,184,4.769093638,2.230906362,1.82941979,12
Boise State,3.295170323,7,0.470738618,86,240,143,5.151370659,1.848629341,1.816552843,13
Western Michigan,4.453979295,8,0.556747412,138,355,154,6.576540566,1.423459434,1.800925093,14
LSU,3.170436749,7,0.452919536,76,209,105,4.988314324,2.011685676,1.787784401,15
Wisconsin,2.301378218,7,0.328768317,23,170,100,4.538983893,2.461016107,1.783555496,16
Texas A&M,2.843671015,7,0.406238716,56,255,148,4.792079675,2.207920325,1.778398177,17
Toledo,4.46179304,7,0.637399006,179,289,157,5.548894474,1.451105526,1.763470688,18
Colorado,3.378179115,8,0.422272389,64,283,145,5.875620363,2.124379637,1.760170065,19
Virginia Tech,3.683412332,7,0.526201762,124,251,125,5.111448812,1.888551188,1.749683457,20
Tennessee,1.766833142,7,0.252404735,8,213,209,3.917745064,3.082254936,1.68242227,21
Florida State,2.682721822,7,0.383245975,43,244,202,4.374555841,2.625444159,1.682098395,22
Troy,4.365392884,7,0.623627555,176,263,139,5.201247023,1.798752977,1.677914295,23
Penn State,2.107575633,7,0.301082233,18,207,192,4.07009041,2.92990959,1.677272014,24
Appalachian State,3.3997896,7,0.485684229,94,177,132,4.675680791,2.324319209,1.665695841,25
Miami (FL),3.253714309,7,0.46481633,83,236,121,4.556849446,2.443150554,1.652611927,26
Navy,3.342366598,6,0.5570611,139,203,150,3.723425501,2.276574499,1.635463885,27
San Diego State,5.174301304,7,0.739185901,200,227,123,5.441676614,1.558323386,1.631050119,28
USC,2.261210659,7,0.323030094,21,198,168,3.916745161,3.083254839,1.611511224,29
North Carolina State,3.370980589,7,0.481568656,92,200,166,4.394747691,2.605252309,1.589544814,30
Northwestern,2.385010947,7,0.34071585,28,181,153,3.898844704,3.101155296,1.588711053,31
Ole Miss,2.690717533,7,0.384388219,44,259,220,4.04821064,2.95178936,1.587714665,32
Houston,4.451185117,8,0.55639814,137,315,171,5.680137049,2.319862951,1.577173486,33
Pittsburgh,3.513335745,7,0.501905106,103,269,220,4.400870072,2.599129928,1.570957615,34
Oklahoma State,3.928094872,7,0.56115641,142,288,192,4.553222524,2.446777476,1.555235583,35
Iowa,3.7557665,8,0.469470812,85,225,151,5.231541427,2.768458573,1.551951908,36
Memphis,4.351330479,7,0.62161864,173,269,158,4.743185243,2.256814757,1.549048416,37
Stanford,2.030500731,7,0.290071533,16,119,142,3.56961894,3.43038106,1.545290865,38
Oklahoma,2.975079959,7,0.425011423,65,307,257,4.010552255,2.989447745,1.536331922,39
South Florida,4.736574825,8,0.592071853,159,339,227,5.632664244,2.367335756,1.529631571,40
Minnesota,3.482334025,7,0.497476289,101,217,160,4.217999926,2.782000074,1.523137819,41
Maryland,3.957737082,7,0.565391012,146,225,144,4.426364901,2.573635099,1.514755947,42
Middle Tennessee,4.147113762,7,0.592444823,160,282,204,4.503393248,2.496606752,1.509710234,43
Utah,4.347284308,8,0.543410539,132,239,173,5.336216814,2.663783186,1.504181028,44
UCF,3.931882202,7,0.561697457,143,225,166,4.333084097,2.666915903,1.491797843,45
Air Force,4.044329529,7,0.577761361,152,233,183,4.378494493,2.621505507,1.488708338,46
Wake Forest,3.760342464,7,0.537191781,128,152,125,4.229827844,2.770172156,1.486801733,47
Georgia Tech,3.282991853,7,0.468998836,84,187,153,3.978489242,3.021510758,1.483183648,48
Western Kentucky,3.348705575,7,0.478386511,91,272,229,3.98638091,3.01361909,1.476050736,49
Tulsa,3.92721838,7,0.561031197,141,278,225,4.219598259,2.780401741,1.460039578,50
BYU,2.863115398,8,0.357889425,34,224,204,4.405644847,3.594355153,1.45705915,51
Texas,3.541930877,7,0.505990125,107,253,228,4.01046396,2.98953604,1.455327993,52
California,3.109765041,7,0.444252149,72,306,289,3.768139265,3.231860735,1.447830342,53
North Carolina,3.570309931,8,0.446288741,73,260,216,4.693943452,3.306056548,1.440734485,54
