"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Air Force",233,183,120,134,0.434988892125222,0.565011107874778,0.639334983563397,0.360665016436603,0.982557525002033,0.441308791838677,0.467372216675176,0.254660133486417,110,0.571862295555203,54
"Akron",261,267,101,106,0.471402487718663,0.528597512281337,0.486536766422946,0.513463233577054,0.984925005858917,0.478294079818467,0.514252484112675,0.380483673133595,81,0.488301528655679,83
"Alabama",351,119,213,103,0.848380446688447,0.151619553311553,0.928477938855307,0.0715220611446926,1.025,0.565398847869712,0.551745466661101,0.676813128303527,15,0.822972959327003,2
"Appalachian State",177,132,78,22,0.952557377241463,0.0474426227585375,0.667130311686152,0.332869688313848,0.975,0.50241210117842,0.489744031782849,0.462532914400927,55,0.592801512925425,47
"Arizona",183,231,89,164,0.190214773771653,0.809785226228347,0.365389436294804,0.634610563705196,1.02160816194681,0.521251869574303,0.567652028044479,0.526625597605081,44,0.442162535270576,96
"Arizona State",286,275,142,179,0.366144201291793,0.633855798708207,0.523221554895086,0.476778445104914,1.02160816194681,0.522362168434359,0.555285987514151,0.530402822016981,40,0.545446506344597,62
"Arkansas",247,251,91,180,0.165678354868963,0.834321645131037,0.490482872627211,0.509517127372789,1.025,0.562523928987921,0.596684240417232,0.667032686142224,17,0.539030411771149,65
"Arkansas State",111,177,44,33,0.66414177276322,0.33585822723678,0.248638232982969,0.751361767017031,0.975,0.538976829239185,0.625549250145978,0.58692571386638,33,0.364918357736373,112
"Army",231,119,0,0,0.75,0.75,0.828069575824948,0.171930424175052,1.00931274900398,0.371333853177439,0.330778979643261,0.0166061679809391,127,0.668473933713785,21
"Auburn",250,99,128,59,0.862421323976102,0.137578676023898,0.899838221591967,0.100161778408033,1.025,0.572031445339389,0.570941522549276,0.699377151359008,14,0.80996113829218,3
"Ball State",224,203,101,111,0.444294473983254,0.555705526016746,0.558062618049939,0.441937381950061,0.984925005858917,0.383455955197918,0.34486768592851,0.0578454246554928,124,0.479656154096216,85
"Baylor",262,103,129,73,0.794026043135032,0.205973956864968,0.901381416100837,0.0986185838991631,1.0199203187251,0.378953950138162,0.329720882072256,0.0425296533564405,126,0.72498782317945,14
"Boise State",240,143,98,54,0.804156925693538,0.195843074306462,0.773323308074525,0.226676691925475,0.982557525002033,0.509746959469266,0.51632571201567,0.487486020983983,49,0.675662994969736,20
"Boston College",147,170,44,150,0.0518245189999661,0.948175481000034,0.414712646918862,0.585287353081138,1.00947282299374,0.46894364848806,0.451437866848142,0.348673609416841,88,0.430998850228748,99
"Bowling Green",171,361,110,140,0.360878307620449,0.639121692379551,0.145430672968698,0.854569327031302,0.984925005858917,0.540946245148052,0.622755504110918,0.593625644953207,28,0.299948027128881,125
"Buffalo",104,234,48,119,0.104165352825864,0.895834647174136,0.127649327793672,0.872350672206328,0.984925005858917,0.447653848410749,0.497445456205626,0.276245945596246,104,0.247132166239319,128
"BYU",224,204,0,0,0.75,0.75,0.555188415710264,0.444811584289736,1.00931274900398,0.572927074994862,0.604956625600565,0.702424073516982,13,0.577102642321489,50
"California",306,289,165,170,0.482319494109119,0.517680505890881,0.53381466525428,0.46618533474572,1.02160816194681,0.530108558473513,0.537475343511854,0.556755955045083,37,0.546596011919408,61
"Central Michigan",243,229,85,129,0.271174478023503,0.728825521976497,0.535100785030301,0.464899214969699,0.984925005858917,0.495860034006557,0.527416776393595,0.44024285452576,66,0.524511419747238,70
"Charlotte",198,295,98,126,0.355347507551728,0.644652492448271,0.279903822112937,0.720096177887063,0.982247931351517,0.444464577499369,0.448958396777742,0.265396081315539,107,0.330286118997821,119
"Cincinnati",169,171,76,124,0.238625623737824,0.761374376262176,0.493029782937429,0.506970217062571,0.995521759117377,0.430366972931302,0.437617292250454,0.21743618687671,112,0.472433763405204,86
"Clemson",256,107,148,70,0.855011360531774,0.144988639468226,0.887700620003661,0.112299379996339,1.00947282299374,0.555447550918825,0.610611018630907,0.642958926407762,22,0.802871510141734,4
"Colorado",283,145,155,86,0.801566584036691,0.198433415963308,0.829890325065439,0.170109674934561,1.02160816194681,0.516097847794406,0.475126615578678,0.509091672653095,45,0.727012895882808,13
"Colorado State",214,223,113,113,0.5,0.5,0.475610885106067,0.524389114893933,0.982557525002033,0.501529625829287,0.557625343299741,0.459530743047282,57,0.494176361819563,80
"Connecticut",162,207,77,117,0.270609313657332,0.729390686342668,0.358716276488397,0.641283723511603,0.995521759117377,0.509333332339844,0.52493926943793,0.48607886607562,51,0.412269394042722,105
"Duke",161,153,48,82,0.219397959698687,0.780602040301313,0.530160955198555,0.469839044801445,1.00947282299374,0.539803649112222,0.558510544861199,0.589738545907406,31,0.54472245618783,63
"East Carolina",187,227,70,116,0.2319959611695,0.7680040388305,0.387127192797798,0.612872807202201,0.995521759117377,0.490951949993292,0.53155215729163,0.423545607129115,72,0.433319608880691,97
"Eastern Michigan",252,243,106,125,0.403536067452563,0.596463932547437,0.521534499274174,0.478465500725826,0.984925005858917,0.47206377548835,0.482774904220253,0.359288246878626,84,0.500947271624719,76
"Florida",182,72,126,65,0.827596818563125,0.172403181436875,0.900051519406323,0.0999484805936767,1.025,0.503554673446598,0.459736646530375,0.466419932589442,54,0.772111892492199,7
"Florida Atlantic",157,250,75,88,0.406406362540174,0.593593637459826,0.249260569193052,0.750739430806948,0.982247931351517,0.442459608488087,0.476206477661208,0.258575198968475,108,0.319141394831223,120
"Florida International",173,271,119,122,0.485252479469547,0.514747520530453,0.256599099469727,0.743400900530273,0.982247931351517,0.451453485143145,0.437642573263243,0.289172267632855,102,0.311320460513593,122
"Florida State",244,202,92,125,0.325971019013626,0.674028980986374,0.610090881844771,0.389909118155229,1.00947282299374,0.558276799261166,0.613738752698896,0.652583997900209,20,0.617097640274924,36
"Fresno State",164,273,65,127,0.169746410214935,0.830253589785065,0.230096796823066,0.769903203176934,0.982557525002033,0.482374892531998,0.553554979251089,0.394366552740596,77,0.332022096253412,117
"Georgia",176,185,117,137,0.407574215057951,0.592425784942049,0.470485293602702,0.529514706397298,1.025,0.511097591028463,0.511439665100607,0.492080854573768,48,0.496240169537887,79
"Georgia Southern",204,160,95,76,0.629214903346367,0.370785096653633,0.640096370307044,0.359903629692956,0.975,0.416507289725173,0.37422963654479,0.170285698273332,117,0.537687272576635,66
"Georgia State",148,177,65,69,0.464675302570932,0.535324697429068,0.395540430407411,0.604459569592589,0.975,0.49009804565554,0.536390360234359,0.420640634039415,74,0.431428146840984,98
"Georgia Tech",187,153,79,112,0.304226663398944,0.695773336601056,0.616705871366942,0.383294128633058,1.00947282299374,0.515994270435312,0.561466967002859,0.508739303625831,46,0.603960426016437,44
"Hawaii",247,299,144,102,0.693656944691229,0.306343055308771,0.388695031074553,0.611304968925447,0.982557525002033,0.451777766259239,0.468037903241135,0.290275468394467,101,0.407901539747384,107
"Houston",315,171,136,99,0.67973582639925,0.32026417360075,0.809668023688199,0.190331976311801,0.995521759117377,0.45708790757388,0.421447083723966,0.308340510272739,96,0.677214670883367,19
"Idaho",194,287,121,125,0.480739544016122,0.519260455983878,0.283300390203185,0.716699609796815,0.975,0.491189743205143,0.550343491398051,0.42435457699939,71,0.363006888336437,114
"Illinois",164,198,79,113,0.299785873175437,0.700214126824563,0.390191000416807,0.609808999583193,1.02003770631759,0.532582646765942,0.548253658541407,0.565172775985431,35,0.451752823506884,93
"Indiana",169,176,77,110,0.300415595377222,0.699584404622778,0.475971744382533,0.524028255617467,1.02003770631759,0.560475804461191,0.599070686498117,0.660064989210075,18,0.52736431393384,69
"Iowa",225,151,117,104,0.569336791652969,0.43066320834703,0.720149790740253,0.279850209259747,1.02003770631759,0.477142157328686,0.459528210277395,0.376564845594855,82,0.645965327701045,27
"Iowa State",166,228,99,151,0.268839358906359,0.731160641093641,0.320355601999332,0.679644398000668,1.0199203187251,0.548832860431572,0.610492207232095,0.620455822707947,25,0.425375927324136,103
"Kansas",152,258,69,172,0.102962807451087,0.897037192548913,0.222022757971038,0.777977242028962,1.0199203187251,0.521426685726589,0.602767131818161,0.527220320216951,43,0.355888496449695,115
"Kansas State",212,147,101,114,0.428749570391387,0.571250429608613,0.704284435424661,0.295715564575339,1.0199203187251,0.500594531555182,0.465420262313574,0.456349562694271,59,0.637106531327625,30
"Kent State",171,210,95,83,0.579333023799876,0.420666976200124,0.380623596755904,0.619376403244096,0.984925005858917,0.426072701138584,0.405463270371848,0.202827121848959,114,0.383040770158757,109
"Kentucky",187,226,90,140,0.259773980738047,0.740226019261953,0.389612694915997,0.610387305084003,1.025,0.552494844589161,0.579734256122086,0.632913852211233,24,0.464311212367644,89
"Louisiana-Lafayette",165,195,86,87,0.493150641214103,0.506849358785897,0.402293434695676,0.597706565304324,0.975,0.427782771693751,0.438332923803953,0.208644762917892,113,0.403948932788474,108
"Louisiana-Monroe",171,288,92,91,0.506475112277169,0.493524887722831,0.225224834762435,0.774775165237565,0.975,0.45323053336959,0.474369827578026,0.295217765996887,99,0.300566336558441,124
"Louisiana Tech",335,253,161,121,0.663047520364382,0.336952479635618,0.660462572301807,0.339537427698194,0.982247931351517,0.401322859566164,0.379660961886555,0.118628435223877,119,0.556799061728366,59
"Louisville",368,159,239,117,0.844600746558657,0.155399253441343,0.879621801608438,0.120378198391562,1.00947282299374,0.539111218256309,0.538295653199954,0.58738290381265,32,0.773101146371345,6
"LSU",209,105,116,66,0.791918230038326,0.208081769961674,0.836367650157424,0.163632349842577,1.025,0.555707530792413,0.583015983923197,0.643843375055282,21,0.770715022114665,8
"Marshall",227,253,72,86,0.396252509521335,0.603747490478665,0.436100936724607,0.563899063275393,0.982247931351517,0.441868389790543,0.428690365122756,0.256563879514339,109,0.425932903416187,102
"Maryland",225,144,102,93,0.554513638182668,0.445486361817332,0.742250849912358,0.257749150087642,1.02003770631759,0.44709435196899,0.416017106444747,0.274342544904582,105,0.64620028132018,26
"Massachusetts",166,267,0,0,0.75,0.75,0.244831947861067,0.755168052138933,0.984925005858917,0.498730321543973,0.519135522028818,0.450007540904845,61,0.33119725747961,118
"Memphis",269,158,58,41,0.69467856534667,0.30532143465333,0.779218116649127,0.220781883350873,0.995521759117377,0.446309861891178,0.427550239995163,0.271673718357596,106,0.659030915825459,24
"Miami (FL)",236,121,83,98,0.40282194356689,0.597178056433111,0.829665405055441,0.170334594944559,1.00947282299374,0.522087151974344,0.513593329340465,0.52946721906915,41,0.731169288401064,12
"Miami (OH)",160,216,78,92,0.403419070282024,0.596580929717975,0.329323162076367,0.670676837923633,0.984925005858917,0.458672152691282,0.4831484696011,0.313730094597436,95,0.374860747975892,111
"Michigan",341,70,182,25,0.991029120010032,0.00897087998996757,0.977081547585404,0.0229184524145964,1.02003770631759,0.558797695309197,0.544317009856302,0.654356080480377,19,0.849514638537325,1
"Michigan State",162,208,84,136,0.241961369294417,0.758038630705583,0.356093100579794,0.643906899420206,1.02003770631759,0.545378639309863,0.552816292432421,0.608704600749234,27,0.430116747349873,100
"Middle Tennessee",282,204,111,91,0.615584812972945,0.384415187027055,0.68295286086687,0.31704713913313,0.982247931351517,0.460182203049512,0.425113812209389,0.318867269174036,92,0.586408410741932,49
"Minnesota",217,160,98,85,0.583531947213939,0.416468052786061,0.673090140643034,0.326909859356966,1.02003770631759,0.490300822957735,0.447026166094415,0.421330480173266,73,0.609712730513298,42
"Mississippi State",187,199,99,115,0.412157111769935,0.587842888230065,0.463215328237031,0.536784671762969,1.025,0.545883656479886,0.540797498117201,0.610422663562469,26,0.501302952818681,75
"Missouri",244,208,48,110,0.122884685579799,0.877115314420201,0.5934686747113,0.4065313252887,1.025,0.573324493253181,0.610579552136962,0.703776086025563,12,0.614151608032851,39
