"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Air Force",0.639334983563397,0.819667491781699,0.813665033371604,13703,18047,0.431590551181102,0.287842748030657,72,75,0.490666530884865,61
"Akron",0.486536766422946,0.743268383211473,0.845120918283399,13001,18749,0.40948031496063,0.257215738986382,80,81,0.410615037532207,83
"Alabama",0.928477938855307,0.964238969427654,0.919203282075882,29818,1932,0.939149606299213,0.832397997048111,2,2,0.882023181253636,2
"Appalachian State",0.667130311686152,0.833565155843076,0.865633228600232,18730,13020,0.58992125984252,0.425664585407986,45,45,0.581633863682148,39
"Arizona",0.365389436294804,0.682694718147402,0.88165639940127,12624,19126,0.397606299212598,0.239320093145534,87,84,0.347300722926158,99
"Arizona State",0.523221554895086,0.761610777447543,0.882600705504245,16981,14769,0.534834645669291,0.359514891194704,60,58,0.486142024213385,63
"Arkansas",0.490482872627211,0.745241436313606,0.916758171535556,15009,16741,0.472724409448819,0.322968236321243,66,72,0.457344257469093,68
"Arkansas State",0.248638232982969,0.624319116491484,0.896731428466595,8919,22831,0.280913385826772,0.157268396407197,107,104,0.242278940498409,113
"Army",0.828069575824948,0.914034787912474,0.754151541995235,9308,22442,0.293165354330709,0.202084960379644,99,100,0.514048416435386,60
"Auburn",0.899838221591967,0.949919110795984,0.924844287839752,28425,3325,0.895275590551181,0.78652401467167,4,4,0.853232022996535,4
"Ball State",0.558062618049939,0.77903130902497,0.764461356163873,8641,23109,0.272157480314961,0.162080483751062,104,106,0.375130697317532,91
"Baylor",0.901381416100837,0.950690708050418,0.76063241333911,24646,7104,0.776251968503937,0.561328111078891,22,17,0.715830604079848,18
"Boise State",0.773323308074525,0.886661654037263,0.871871505245996,25260,6490,0.795590551181102,0.615035278166335,16,15,0.714689221495533,19
"Boston College",0.414712646918862,0.707356323459431,0.83716840235421,8586,23164,0.270425196850394,0.160139409590046,105,107,0.321597948321564,105
"Bowling Green",0.145430672968698,0.572715336484349,0.898406411238302,4868,26882,0.153322834645669,0.0788893713822177,121,121,0.138211510872409,127
"Buffalo",0.127649327793672,0.563824663896836,0.819061486399062,3255,28495,0.10251968503937,0.0473443150864797,127,127,0.103874993786808,128
"BYU",0.555188415710264,0.777594207855132,0.925606018379245,20530,11220,0.646614173228346,0.465397886256197,33,34,0.558128550353355,47
"California",0.53381466525428,0.76690733262714,0.889188988761271,20653,11097,0.650488188976378,0.443584519660955,37,33,0.533270811247719,54
"Central Michigan",0.535100785030301,0.76755039251515,0.86006071363144,13588,18162,0.427968503937008,0.282519101798158,76,77,0.449468943337605,70
"Charlotte",0.279903822112937,0.639951911056469,0.816349020328885,5533,26217,0.174267716535433,0.0910416576971151,118,118,0.210422046157282,117
"Cincinnati",0.493029782937429,0.746514891468715,0.804359046719178,10942,20808,0.344629921259843,0.206938552526709,97,96,0.379258617891757,89
"Clemson",0.887700620003661,0.943850310001831,0.91073973160194,28118,3632,0.885606299212598,0.761268926535487,5,5,0.834178249340873,5
"Colorado",0.829890325065439,0.914945162532719,0.877272918163274,26857,4893,0.845889763779528,0.678959012508184,9,9,0.767323459410259,10
"Colorado State",0.475610885106067,0.737805442553034,0.86488268576182,13281,18469,0.418299212598425,0.266923065931973,78,79,0.41366481732487,82
"Connecticut",0.358716276488397,0.679358138244199,0.871519716518905,13914,17836,0.438236220472441,0.259468277283987,79,74,0.35449761188807,94
"Duke",0.530160955198555,0.765080477599277,0.897434636476852,13174,18576,0.414929133858268,0.284894376538532,74,80,0.455499580687979,69
"East Carolina",0.387127192797798,0.693563596398899,0.855886401782279,9975,21775,0.314173228346457,0.186496888756443,100,99,0.325615676166007,104
"Eastern Michigan",0.521534499274174,0.760767249637087,0.839822061719656,12682,19068,0.399433070866142,0.255201431837544,81,83,0.425141809247624,75
"Florida",0.900051519406323,0.950025759703162,0.86660498314736,26859,4891,0.845952755905512,0.696470414701665,7,8,0.801977006506419,7
"Florida Atlantic",0.249260569193052,0.624630284596526,0.814643799742119,4627,27123,0.145732283464567,0.0741560456405161,124,123,0.183949812630396,119
"Florida International",0.256599099469727,0.628299549734864,0.822293066908214,5323,26427,0.167653543307087,0.0866175935091039,119,119,0.196550954748261,118
"Florida State",0.610090881844771,0.805045440922385,0.913145999475052,20727,11023,0.652818897637795,0.479902854827141,30,31,0.589007664594438,37
"Fresno State",0.230096796823066,0.615048398411533,0.848591638185149,4716,27034,0.148535433070866,0.0775243452066821,123,122,0.179683956195116,120
"Georgia",0.470485293602702,0.735242646801351,0.873020213643442,15016,16734,0.472944881889764,0.303574661289314,70,70,0.431477074988007,73
"Georgia Southern",0.640096370307044,0.820048185153522,0.792571424568333,10200,21550,0.321259842519685,0.208801793224642,96,97,0.44530134222341,71
"Georgia State",0.395540430407411,0.697770215203706,0.855160158509854,11655,20095,0.367086614173228,0.219042523771366,92,92,0.347862482833915,98
"Georgia Tech",0.616705871366942,0.808352935683471,0.877184825906458,15423,16327,0.485763779527559,0.344442917556259,63,67,0.522564614782854,55
"Hawaii",0.388695031074553,0.694347515537277,0.822568867098617,11401,20349,0.359086614173228,0.20509183464098,98,93,0.332847825629647,101
"Houston",0.809668023688199,0.904834011844099,0.827085127568185,21810,9940,0.686929133858268,0.514080421644999,29,29,0.675419298392778,22
"Idaho",0.283300390203185,0.641650195101592,0.856088644249847,8287,23463,0.261007874015748,0.143374090574697,108,108,0.248689455981581,112
"Illinois",0.390191000416807,0.695095500208403,0.891293193996358,8947,22803,0.281795275590551,0.174581722851275,101,103,0.32578148055027,103
"Indiana",0.475971744382533,0.737985872191266,0.915016247302519,18716,13034,0.58948031496063,0.398057820137725,51,46,0.486841357898169,62
"Iowa",0.720149790740253,0.860074895370127,0.844141211398714,20472,11278,0.644787401574803,0.468131556625792,31,36,0.620201211687606,25
"Iowa State",0.320355601999332,0.660177800999666,0.905113955676987,15176,16574,0.477984251968504,0.285612865338419,73,68,0.352633634755433,95
"Kansas",0.222022757971038,0.611011378985519,0.881805080054238,4591,27159,0.14459842519685,0.0779086103362546,122,124,0.178720005643292,121
"Kansas State",0.704284435424661,0.85214221771233,0.864087390673568,18566,13184,0.584755905511811,0.430570594092391,42,47,0.600627501902672,34
"Kent State",0.380623596755904,0.690311798377952,0.80070678046224,7323,24427,0.230645669291339,0.127486473171752,112,112,0.280060486248031,108
"Kentucky",0.389612694915997,0.694806347457998,0.908228463052808,12510,19240,0.394015748031496,0.2486408407055,85,86,0.367243475403444,92
"Louisiana-Lafayette",0.402293434695676,0.701146717347838,0.802161190729473,9258,22492,0.291590551181102,0.164000056814976,103,101,0.312332970792456,106
