TEAM,ELO,GAMES,RANK
Alabama,2332.422958,8,1
Michigan,2269.194551,7,2
Clemson,2179.548438,6,3
Texas A&M,2162.0702,6,4
Ohio State,2158.055635,7,5
Washington,2047.339078,7,6
Baylor,2030.691677,5,7
Nebraska,2029.187271,7,8
Tennessee,2029.048221,7,9
Boise State,2000.472143,7,10
West Virginia,1977.584473,5,11
Louisville,1975.600452,7,12
Western Michigan,1940.41108,8,13
Miami (FL),1923.312592,7,14
Stanford,1888.561955,7,15
Auburn,1876.18327,7,16
Wisconsin,1851.687521,7,17
Florida,1850.027508,6,18
Colorado,1831.852258,8,19
Florida State,1829.036475,6,20
Washington State,1810.203923,6,21
Arizona State,1808.32503,7,22
Houston,1790.333647,8,23
Troy,1754.747874,7,24
North Carolina State,1745.184755,7,25
Pittsburgh,1724.954035,7,26
Utah,1719.105397,8,27
Appalachian State,1704.96666,7,28
Virginia Tech,1702.82244,7,29
Maryland,1688.268866,7,30
LSU,1678.230208,6,31
Minnesota,1664.98813,7,32
Iowa,1659.564772,7,33
USC,1655.547023,7,34
Penn State,1654.137266,7,35
Georgia,1645.046756,6,36
Toledo,1640.250154,7,37
Wake Forest,1635.988854,7,38
Ole Miss,1633.095367,7,39
Arkansas,1613.96152,8,40
UCLA,1608.313955,8,41
San Diego State,1608.252061,6,42
Central Michigan,1606.692786,8,43
Oklahoma,1600.007021,7,44
North Carolina,1577.913466,7,45
Air Force,1576.801858,6,46
Georgia Tech,1567.682889,7,47
Northwestern,1563.281103,7,48
Oregon,1560.314464,7,49
Kansas State,1553.064382,7,50
Oklahoma State,1543.950655,6,51
BYU,1540.237871,8,52
Middle Tennessee,1534.305927,7,53
Tulsa,1522.329656,7,54
Texas Tech,1518.880692,6,55
South Florida,1509.761484,8,56
Navy,1489.206333,6,57
Wyoming,1470.424033,7,58
Missouri,1449.288162,7,59
Memphis,1447.923844,6,60
TCU,1441.529163,6,61
California,1440.288702,7,62
Akron,1438.451708,7,63
UCF,1433.143403,6,64
Oregon State,1424.815053,7,65
Southern Miss,1418.885562,7,66
Indiana,1412.032014,7,67
Old Dominion,1387.37399,7,68
Colorado State,1383.844837,7,69
Vanderbilt,1372.732132,8,70
Georgia Southern,1368.266815,7,71
Louisiana Tech,1367.309834,7,72
Texas,1366.794193,7,73
Duke,1359.902889,7,74
Eastern Michigan,1351.624514,8,75
Arizona,1347.997476,6,76
Utah State,1340.941191,7,77
Michigan State,1331.228781,7,78
South Carolina,1328.792,7,79
Temple,1325.744609,8,80
Western Kentucky,1324.229469,7,81
Idaho,1315.15968,8,82
Kentucky,1310.902078,7,83
Boston College,1310.294988,7,84
Rutgers,1304.518944,8,85
Cincinnati,1271.428661,6,86
South Alabama,1263.366748,6,87
Mississippi State,1248.297612,7,88
Connecticut,1239.566954,8,89
SMU,1237.818167,7,90
Army,1235.71198,7,91
Illinois,1204.211278,7,92
Ohio,1194.434934,8,93
Syracuse,1181.601425,8,94
Ball State,1176.471095,7,95
Notre Dame,1171.741751,7,96
Louisiana-Lafayette,1164.558648,6,97
Tulane,1147.133696,6,98
UTSA,1139.255846,6,99
Virginia,1136.294833,7,100
East Carolina,1097.689847,6,101
Northern Illinois,1096.988358,7,102
Texas State,1089.61455,7,103
UNLV,1081.724224,8,104
New Mexico,1075.09341,7,105
Iowa State,1074.571576,7,106
Arkansas State,1069.569343,5,107
Kent State,1013.39458,8,108
Hawaii,1013.25255,7,109
Louisiana-Monroe,1012.156114,6,110
Georgia State,996.7663803,6,111
North Texas,989.3367243,7,112
Massachusetts,985.5235858,8,113
Bowling Green,978.9701891,8,114
Purdue,969.5912445,6,115
Nevada,949.1062049,8,116
New Mexico State,948.0475748,7,117
Marshall,935.8706546,7,118
Florida International,935.2252089,8,119
Kansas,913.7836566,6,120
Charlotte,909.6906717,8,121
San Jose State,880.3606361,8,122
UTEP,851.3840362,7,123
Miami (OH),837.6489153,7,124
Buffalo,693.1537021,6,125
Florida Atlantic,667.6170034,6,126
Fresno State,602.9644464,7,127
Rice,546.6751263,6,128
