"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Air Force",4.04432952923213,7,0.577761361318876,152,233,183,4.37849449334238,2.62150550665762,0.334164964110245,60
"Akron",4.31631248703428,8,0.539539060879285,129,261,267,4.21459771855624,3.78540228144376,-0.101714768478042,80
"Alabama",2.87059946830706,8,0.358824933538383,35,351,119,7.12554334928316,0.87445665071684,4.2549438809761,1
"Appalachian State",3.39978960025027,7,0.485684228607181,94,177,132,4.67568079074768,2.32431920925232,1.27589119049741,29
"Arizona",2.81767637671259,7,0.402525196673227,52,183,231,2.78257119487593,4.21742880512407,-0.0351051818366552,74
"Arizona State",3.59717616826469,8,0.449647021033086,74,286,275,4.02893594885223,3.97106405114777,0.431759780587539,54
"Arkansas",3.30751654920485,8,0.413439568650606,61,247,251,4.04886546877893,3.95113453122107,0.741348919574079,43
"Arkansas State",2.4889161011085,6,0.41481935018475,62,111,177,2.12913756451235,3.87086243548765,-0.359778536596156,85
"Army",5.06094955445488,7,0.722992793493554,198,231,119,4.42531050766087,2.57468949233913,-0.635639046794009,94
"Auburn",2.72814947490012,7,0.389735639271446,47,250,99,5.03131415796865,1.96868584203135,2.30316468306852,9
"Ball State",5.47154716483544,8,0.68394339560443,192,224,203,4.30143551918592,3.69856448081408,-1.17011164564952,111
"Baylor",4.06693969847198,6,0.677823283078664,190,262,103,5.1275129191307,0.872487080869303,1.06057322065872,34
"Boise State",3.2951703225975,7,0.470738617513928,86,240,143,5.1513706587559,1.8486293412441,1.8562003361584,17
"Boston College",4.04903063251093,7,0.578432947501562,154,147,170,3.6361893679157,3.3638106320843,-0.412841264595228,88
"Bowling Green",3.601061260485,8,0.450132657560625,75,171,361,2.16316747628864,5.83683252371136,-1.43789378419635,114
"Buffalo",4.73336667109555,7,0.676195238727936,189,104,234,1.42126147056098,5.57873852943902,-3.31210520053457,128
"BYU",2.86311539834523,8,0.357889424793153,34,224,204,4.40564484682393,3.59435515317607,1.54252944847871,22
"California",3.10976504132469,7,0.44425214876067,72,306,289,3.76813926519314,3.23186073480686,0.658374223868449,46
"Central Michigan",4.09142427265222,8,0.511428034081528,111,243,229,4.13186237699174,3.86813762300826,0.0404381043395148,71
"Charlotte",4.84681859438116,8,0.605852324297645,170,198,295,2.97783729291357,5.02216270708643,-1.86898130146758,118
"Cincinnati",4.31184233283418,7,0.615977476119169,171,169,171,3.57763636392449,3.42236363607551,-0.734205968909687,99
"Clemson",2.69868920970131,7,0.38552702995733,45,256,107,5.56474828449681,1.43525171550319,2.8660590747955,3
"Colorado",3.378179114693,8,0.422272389336626,64,283,145,5.87562036298739,2.12437963701261,2.49744124829438,5
"Colorado State",3.87502648793547,8,0.484378310991933,93,214,223,3.96929292793203,4.03070707206797,0.0942664399965629,69
"Connecticut",3.77703421013627,8,0.472129276267034,87,162,207,3.46600183763597,4.53399816236403,-0.311032372500299,84
"Duke",3.3209601269347,7,0.474422875276386,88,161,153,3.25067992532681,3.74932007467319,-0.0702802016078947,78
"East Carolina",3.45336906480317,7,0.493338437829025,99,187,227,2.63933864214556,4.36066135785444,-0.814030422657617,101
"Eastern Michigan",4.20491784850394,8,0.525614731062993,122,252,243,4.18250203091275,3.81749796908725,-0.0224158175911882,73
"Florida",3.03019658159176,6,0.505032763598626,106,182,72,5.04874877193676,0.951251228063242,2.018552190345,13
"Florida Atlantic",4.61687887285298,7,0.659554124693282,185,157,250,2.30525583360063,4.69474416639937,-2.31162303925235,122
"Florida International",4.96090820254044,8,0.620113525317555,172,173,271,2.47123030906742,5.52876969093258,-2.48967789347302,124
"Florida State",2.68272182220403,7,0.383245974600575,43,244,202,4.37455584123283,2.62544415876717,1.69183401902881,19
"Fresno State",4.08661034135258,8,0.510826292669073,110,164,273,2.20436222182196,5.79563777817804,-1.88224811953062,119
"Georgia",3.10263929308698,7,0.443234184726712,70,176,185,3.55568687166737,3.44431312833263,0.453047578580391,53
"Georgia Southern",4.35462610609905,7,0.622089443728436,175,204,160,4.07103231100894,2.92896768899106,-0.283593795090106,83
"Georgia State",3.48013663267614,7,0.497162376096592,100,148,177,2.7741660398731,4.2258339601269,-0.705970592803037,96
"Georgia Tech",3.28299185329333,7,0.468998836184761,84,187,153,3.97848924241835,3.02151075758165,0.695497389125022,45
"Hawaii",4.75641245448017,8,0.594551556810021,163,247,299,3.83578184800813,4.16421815199187,-0.920630606472041,103
"Houston",4.45118511734562,8,0.556398139668203,137,315,171,5.68013704882894,2.31986295117106,1.22895193148332,30
"Idaho",3.66555846331572,8,0.458194807914465,80,194,287,2.89422734708508,5.10577265291492,-0.771331116230634,100
"Illinois",2.87656100287065,7,0.410937286124379,57,164,198,2.78709928825579,4.21290071174421,-0.0894617146148602,79
"Indiana",2.81950039191266,7,0.402785770273238,53,169,176,3.34108857966174,3.65891142033826,0.521588187749074,49
"Iowa",3.75576649979671,8,0.469470812474589,85,225,151,5.23154142708122,2.76845857291878,1.47577492728452,25
"Iowa State",2.82992052505607,7,0.404274360722296,55,166,228,2.36640653250852,4.63359346749148,-0.463513992547546,91
"Kansas",3.22173639074613,7,0.460248055820876,81,152,258,1.90813711300339,5.09186288699661,-1.31359927774274,112
"Kansas State",3.55393044274193,7,0.507704348963133,109,212,147,3.91463829436767,3.08536170563233,0.360707851625745,58
"Kent State",4.44623260953077,8,0.555779076191346,136,171,210,3.46366995993723,4.53633004006277,-0.982562649593545,105
"Kentucky",3.19185514095768,7,0.455979305851098,78,187,226,3.15555915096473,3.84444084903527,-0.0362959899929542,75
"Louisiana-Lafayette",4.23495130696173,7,0.604993043851675,169,165,195,3.17956392399988,3.82043607600012,-1.05538738296185,109
"Louisiana-Monroe",4.1731136164019,7,0.596159088057414,164,171,288,2.39615791816608,4.60384208183392,-1.77695569823582,117
"Louisiana Tech",5.11629869748857,8,0.639537337186072,180,335,253,5.26067934723248,2.73932065276752,0.144380649743902,67
"Louisville",3.33977668283714,7,0.47711095469102,90,368,159,5.79725653159521,1.20274346840479,2.45747984875807,6
"LSU",3.17043674894327,7,0.452919535563325,76,209,105,4.98831432389298,2.01168567610702,1.81787757494971,18
"Marshall",3.90564018778285,7,0.557948598254693,140,227,253,2.88630914361631,4.11369085638369,-1.01933104416654,108
"Maryland",3.9577370817216,7,0.565391011674515,146,225,144,4.42636490086452,2.57363509913548,0.468627819142914,51
"Massachusetts",4.34931195236391,8,0.543663994045489,133,166,267,2.21255864904058,5.78744135095942,-2.13675330332333,121
"Memphis",4.35133047912404,7,0.621618639874863,173,269,158,4.7431852426617,2.2568147573383,0.391854763537657,56
"Miami (FL)",3.25371430908811,7,0.46481632986973,83,236,121,4.55684944642405,2.44315055357595,1.30313513733594,28
"Miami (OH)",4.1946423804188,8,0.524330297552351,120,160,216,2.77651900280797,5.22348099719203,-1.41812337761084,113
"Michigan",2.77166328897132,7,0.395951898424474,50,341,70,6.50438410674886,0.495615893251142,3.73272081777754,2
"Michigan State",3.06965624436564,7,0.438522320623663,69,162,208,2.64397669624506,4.35602330375494,-0.425679548120586,90
"Middle Tennessee",4.14711376242266,7,0.592444823203237,160,282,204,4.50339324786567,2.49660675213433,0.356279485443006,59
"Minnesota",3.48233402460621,7,0.497476289229458,101,217,160,4.21799992561507,2.78200007438493,0.735665901008864,44
"Mississippi State",3.32405137948826,7,0.474864482784037,89,187,199,3.27408458267185,3.72591541732815,-0.0499667968164048,77
"Missouri",2.82195282110567,7,0.40313611730081,54,244,208,3.03688812808386,3.96311187191614,0.214935306978188,64
"Navy",3.34236659759801,6,0.557061099599669,139,203,150,3.72342550105468,2.27657449894532,0.381058903456665,57
"Nebraska",3.59876441119884,7,0.514109201599835,113,239,124,5.53909896912426,1.46090103087574,1.94033455792541,16
"Nevada",5.7082989066324,8,0.71353736332905,197,180,220,3.16887682451833,4.83112317548167,-2.53942208211407,126
"New Mexico",4.63953125569189,7,0.662790179384556,187,280,237,3.92849775469134,3.07150224530866,-0.711033501000549,97
"New Mexico State",4.04867890333249,7,0.57838270047607,153,181,291,2.15379356895509,4.84620643104491,-1.8948853343774,120
"North Carolina",3.57030993075673,8,0.446288741344591,73,260,216,4.69394345195713,3.30605654804287,1.12363352120041,32
"North Carolina State",3.37098058868558,7,0.481568655526512,92,200,166,4.39474769140467,2.60525230859533,1.02376710271909,36
"North Texas",4.13885145897351,7,0.591264494139073,158,190,190,3.44685562794504,3.55314437205496,-0.69199583102847,95
"Northern Illinois",3.48868528096751,8,0.436085660120939,67,235,268,3.44392749111303,4.55607250888697,-0.044757789854482,76
"Northwestern",2.3850109469159,7,0.340715849559414,28,181,153,3.898844703929,3.101155296071,1.5138337570131,24
"Notre Dame",3.63723131915489,7,0.519604474164984,116,212,194,3.23591093314248,3.76408906685752,-0.401320386012409,87
"Ohio",5.60001140103478,8,0.700001425129347,195,228,194,4.8885310278203,3.1114689721797,-0.711480373214475,98
"Ohio State",2.91353179070836,7,0.416218827244051,63,317,101,5.75135889765946,1.24864110234054,2.83782710695111,4
"Oklahoma",2.97507995911397,7,0.425011422730568,65,307,257,4.01055225455138,2.98944774544862,1.0354722954374,35
"Oklahoma State",3.92809487151304,7,0.561156410216149,142,288,192,4.55322252442979,2.44677747557021,0.625127652916745,48
"Old Dominion",4.15050807665339,7,0.592929725236198,161,228,212,3.76219389583154,3.23780610416846,-0.388314180821843,86
"Ole Miss",2.69071753271892,7,0.384388218959845,44,259,220,4.04821064040049,2.95178935959951,1.35749310768158,27
"Oregon",2.45571807582196,7,0.350816867974566,32,270,303,3.28046119078146,3.71953880921854,0.824743114959501,42
"Oregon State",2.38204270731061,7,0.340291815330087,26,168,226,2.56394033770487,4.43605966229513,0.181897630394266,66
"Penn State",2.10757563265859,7,0.301082233236941,18,207,192,4.07009041047836,2.92990958952164,1.96251477781977,14
"Pittsburgh",3.51333574516053,7,0.501905106451505,103,269,220,4.40087007211988,2.59912992788012,0.88753432695935,39
"Purdue",3.75840265652134,7,0.536914665217335,127,179,233,2.82595254743349,4.17404745256651,-0.932450109087857,104
"Rice",3.69120120757257,7,0.527314458224653,125,179,259,2.0497811061443,4.9502188938557,-1.64142010142827,116
"Rutgers",2.87160722366019,8,0.358950902957524,36,148,298,2.33735930917273,5.66264069082727,-0.534247914487462,93
"San Diego State",5.17430130356628,7,0.739185900509469,200,227,123,5.44167661352386,1.55832338647614,0.267375309957578,62
"San Jose State",4.79682146844931,8,0.599602683556163,165,178,292,2.29778454778464,5.70221545221536,-2.49903692066467,125
"SMU",2.88551071693657,7,0.412215816705225,59,177,212,3.14632559093344,3.85367440906656,0.260814873996863,63
"South Alabama",3.62625423400622,7,0.518036319143746,114,164,181,2.75302511809372,4.24697488190628,-0.873229115912505,102
"South Carolina",3.6767235086146,7,0.525246215516372,121,118,149,2.67497046856107,4.32502953143893,-1.00175304005353,106
"South Florida",4.73657482466745,8,0.592071853083431,159,339,227,5.63266424389175,2.36733575610825,0.896089419224305,38
"Southern Miss",4.20248768375711,7,0.600355383393873,166,251,207,3.9952569977075,3.0047430022925,-0.207230686049613,82
"Stanford",2.0305007310574,7,0.290071533008199,16,119,142,3.56961894035559,3.43038105964441,1.5391182092982,23
"Syracuse",3.70692356175356,8,0.463365445219194,82,213,253,3.71289577820829,4.28710422179171,0.00597221645473756,72
"TCU",3.95152913801193,7,0.564504162573133,145,251,214,4.00580943896116,2.99419056103884,0.0542803009492325,70
"Temple",4.06155042842695,8,0.507693803553368,108,270,191,4.89067706920316,3.10932293079684,0.829126640776218,41
"Tennessee",1.76683314201802,7,0.252404734574003,8,213,209,3.91774506408533,3.08225493591468,2.15091192206731,11
"Texas",3.54193087727653,7,0.505990125325218,107,253,228,4.01046396026436,2.98953603973564,0.468533082987833,52
"Texas A&M",2.84367101506179,7,0.406238716437399,56,255,148,4.79207967530562,2.20792032469438,1.94840866024383,15
"Texas State",4.43331492928683,7,0.633330704183832,177,168,285,2.02577569986295,4.97422430013705,-2.40753922942388,123
"Texas Tech",3.64807137652022,7,0.521153053788602,118,352,307,3.84931707397111,3.15068292602889,0.20124569745089,65
"Toledo",4.46179304012364,7,0.637399005731949,179,289,157,5.54889447387019,1.45110552612981,1.08710143374654,33
"Troy",4.36539288363798,7,0.623627554805426,176,263,139,5.20124702274421,1.79875297725579,0.835854139106225,40
"Tulane",4.0011105183652,7,0.571587216909315,149,196,186,2.91604290325351,4.08395709674649,-1.08506761511169,110
"Tulsa",3.92721838038563,7,0.561031197197948,141,278,225,4.21959825870502,2.78040174129498,0.292379878319383,61
"UCF",3.93188220196684,7,0.561697457423834,143,225,166,4.33308409675048,2.66691590324952,0.401201894783642,55
"UCLA",2.82481976917662,8,0.353102471147077,33,227,214,4.03155121126884,3.96844878873116,1.20673144209222,31
"UNLV",4.97414767433211,8,0.621768459291514,174,251,258,3.38382403678216,4.61617596321784,-1.59032363754995,115
"USC",2.26121065865575,7,0.323030094093678,21,198,168,3.91674516087958,3.08325483912042,1.65553450222383,20
"Utah",4.34728430816923,8,0.543410538521153,132,239,173,5.33621681417364,2.66378318582636,0.988932506004411,37
"Utah State",3.94242421294289,7,0.563203458991842,144,178,170,3.43212845395178,3.56787154604822,-0.510295758991114,92
"UTEP",4.21960263363663,7,0.602800376233805,167,146,275,1.64858020065428,5.35141979934572,-2.57102243298236,127
"UTSA",4.51333193292262,7,0.644761704703232,181,205,198,3.49957843576866,3.50042156423134,-1.01375349715396,107
"Vanderbilt",3.91711953370922,8,0.489639941713652,96,166,171,3.50330189370939,4.49669810629061,-0.413817639999827,89
"Virginia",2.74567271017461,7,0.392238958596373,48,184,229,2.62426698005952,4.37573301994048,-0.121405730115089,81
"Virginia Tech",3.68341233215356,7,0.526201761736223,124,251,125,5.11144881195543,1.88855118804457,1.42803647980187,26
"Wake Forest",3.76034246449545,7,0.537191780642207,128,152,125,4.22982784383325,2.77017215616675,0.4694853793378,50
"Washington",4.02574914696168,7,0.575107020994526,151,338,102,6.37815083849287,0.621849161507134,2.35240169153118,7
"Washington State",2.44054764929578,7,0.348649664185111,31,283,184,4.76909363786996,2.23090636213004,2.32854598857418,8
"West Virginia",3.01319719131349,6,0.502199531885582,104,198,107,4.6457738057422,1.3542261942578,1.63257661442871,21
"Western Kentucky",3.34870557466787,7,0.478386510666838,91,272,229,3.98638090988968,3.01361909011032,0.637675335221815,47
"Western Michigan",4.45397929515737,8,0.556747411894671,138,355,154,6.57654056562558,1.42345943437442,2.12256127046821,12
"Wisconsin",2.301378218007,7,0.328768316858143,23,170,100,4.53898389335293,2.46101610664707,2.23760567534593,10
"Wyoming",3.9712810206774,7,0.567325860096772,147,241,212,4.09924191075192,2.90075808924808,0.127960890074514,68
