Team,CONF.W,CONF.L,OVERALL.W,OVERALL.L,Score,Rank,Games
Alabama,0,0,2,0,2377.726926,1,2
Ohio State,0,0,2,0,2217.969685,2,2
Houston,0,0,2,0,2138.673622,3,2
Florida State,0,0,2,0,2126.70074,4,2
West Virginia,0,0,2,0,2106.415054,5,2
Stanford,0,0,1,0,2089.226765,6,1
Baylor,0,0,2,0,2058.144484,7,2
Nebraska,0,0,2,0,2055.629654,8,2
Oregon,0,0,2,0,2043.184213,9,2
Texas A&M,0,0,2,0,2042.043924,10,2
Louisville,1,0,2,0,2010.330949,11,2
Washington,0,0,2,0,1998.48301,12,2
Clemson,0,0,2,0,1995.852384,13,2
Tennessee,0,0,2,0,1995.664178,14,2
Arizona State,0,0,2,0,1980.788626,15,2
Michigan,0,0,2,0,1974.632636,16,2
Michigan State,0,0,1,0,1957.253567,17,1
Wisconsin,0,0,2,0,1957.055644,18,2
LSU,0,0,1,1,1956.116963,19,2
Georgia,0,0,2,0,1947.788473,20,2
Toledo,0,0,2,0,1944.221887,21,2
Texas,0,0,2,0,1928.372689,22,2
USC,0,0,1,1,1924.935344,23,2
Georgia Southern,1,0,2,0,1917.509987,24,2
Florida,1,0,2,0,1895.201617,25,2
Notre Dame,0,0,1,1,1894.84109,26,2
Cincinnati,0,0,2,0,1889.594289,27,2
Colorado,0,0,2,0,1882.152436,28,2
Iowa,0,0,2,0,1872.366839,29,2
Army,0,0,2,0,1855.504772,30,2
Oklahoma,0,0,1,1,1853.922439,31,2
Miami (FL),0,0,2,0,1848.605435,32,2
UCLA,0,0,1,1,1843.76091,33,2
Ole Miss,0,0,1,1,1823.063351,34,2
Utah,0,0,2,0,1821.204714,35,2
Appalachian State,0,0,1,1,1820.438532,36,2
Pittsburgh,0,0,2,0,1810.958594,37,2
TCU,0,0,1,1,1793.924892,38,2
Penn State,0,0,1,1,1793.370932,39,2
Tulsa,0,0,1,1,1786.755643,40,2
Arkansas,0,0,2,0,1786.660591,41,2
Western Kentucky,1,0,1,1,1771.574524,42,2
Georgia Tech,1,0,2,0,1770.769074,43,2
Louisiana Tech,0,0,1,1,1767.843999,44,2
Central Michigan,0,0,2,0,1762.710028,45,2
Oklahoma State,0,0,1,1,1762.410817,46,2
Richmond,0,0,1,0,1743.393416,47,1
Indiana,0,0,2,0,1736.54422,48,2
Auburn,0,0,1,1,1735.59878,49,2
Minnesota,0,0,2,0,1730.935149,50,2
South Florida,0,0,2,0,1725.569696,51,2
San Diego State,0,0,2,0,1723.961341,52,2
Maryland,0,0,2,0,1717.845301,53,2
Missouri,0,0,1,1,1717.365403,54,2
Memphis,0,0,1,0,1713.549603,55,1
Kansas State,0,0,0,1,1709.088313,56,1
Marshall,0,0,1,0,1706.498551,57,1
East Carolina,0,0,2,0,1705.223283,58,2
Troy,0,0,1,1,1704.293387,59,2
BYU,0,0,1,1,1698.694125,60,2
