"Team","Score","Rank"
"Hawaii",-38.7199799058672,111
"Appalachian State",40.8884586749516,49
"Indiana",65.8128324654168,36
"Oregon State",-86.3187096927846,113
"Rice",-229.001705058847,125
"South Carolina",21.3498890185688,67
"Tulane",9.1265067753644,85
"Charlotte",14.1633326105588,78
"Ball State",2.41187670679072,94
"Colorado State",38.8068939089993,57
"Kansas State",-142.223404657171,116
"Toledo",47.8454520104661,43
"Army",83.5354137146673,32
"Boise State",85.9522808600752,30
"Bowling Green",14.4255740002245,77
"BYU",45.023511438754,45
"Fresno State",15.6238640840619,74
"UCLA",43.4504893204409,47
"Clemson",118.188100039514,14
"Georgia Tech",86.7788988530722,29
"Georgia",129.997477628729,9
"Kent State",-255.610822007583,128
"LSU",22.2926422423933,64
"Louisiana Tech",5.98877251310801,90
"Massachusetts",-204.52521632685,123
"Miami (OH)",-186.484536024438,120
"Missouri",38.3983453972076,58
"New Mexico State",11.3786057641907,82
"Northern Illinois",-231.865084576053,126
"Oklahoma",27.7713363679026,62
"Rutgers",4.54438761730448,92
"San Jose State",-4.49842903290483,102
"South Alabama",105.522074107129,19
"USC",36.7700722032564,59
"SMU",39.5723003264978,54
"Southern Miss",35.9210806155938,60
"Texas State",99.4533571132208,26
"Western Michigan",38.9612819823016,56
"Notre Dame",43.7715466366337,46
"Ole Miss",18.9762753159795,68
"Louisville",130.802214378911,7
"Maryland",42.1694145281456,48
"Akron",8.64556253817911,86
"Arkansas State",-225.693869523982,124
"Arkansas",115.067433397356,16
"Boston College",9.39360714954062,84
"California",8.07419785295773,87
"UCF",6.01652698879331,89
"Central Michigan",101.085229467992,24
"Cincinnati",91.255745237057,28
"Connecticut",2.44427137823897,93
"Eastern Michigan",-5.21042789985052,104
"Florida Atlantic",17.728360785396,69
"Georgia Southern",196.847728088356,2
"Georgia State",-232.950464757794,127
"Idaho",14.8089184701958,76
"Iowa State",-196.498676503616,122
"Kentucky",-140.534092526783,114
"Middle Tennessee",-64.9217984686054,112
"North Carolina",34.2894177526259,61
"UNLV",-0.175329377889547,98
"Nevada",0.144644724746961,97
"New Mexico",-32.1390057783105,110
"North Carolina State",21.6723142783148,66
"Louisiana-Monroe",-16.2359517205992,108
"Ohio",27.5477074384064,63
"Old Dominion",-2.7287160019297,100
"Penn State",13.8862154586804,79
"Texas Tech",17.7197021360499,70
"UTEP",54.3550176588584,42
"UTSA",-4.8032577876904,103
"Troy",15.4691023902862,75
"Tulsa",39.1127546055476,55
"Utah State",-6.83320747161008,105
"Virginia Tech",12.6498699308188,81
"Virginia",-188.094737435352,121
"Wake Forest",104.44503275237,20
"Washington State",-168.813213880996,119
"Western Kentucky",7.09752377316289,88
"Wyoming",-0.753037550149152,99
"Tennessee",159.714462539644,4
"Florida International",-153.838917508523,117
"Minnesota",71.3682445570703,35
"Vanderbilt",-21.5151670496892,109
"Utah",129.997477628728,13
"Buffalo",-142.22340465717,115
"Syracuse",16.7748721700137,71
"Colorado",129.997477628728,12
"Michigan State",40.8241240415637,53
"Stanford",40.8241240415637,52
"Baylor",129.997477628729,10
"Temple",15.798221572008,73
"Air Force",60.8084470229019,39
"Louisiana-Lafayette",9.71314164824496,83
"Ohio State",159.714462539648,3
"Arizona",1.3923855295397,95
"Nebraska",110.247281549655,18
"Oregon",56.4555004967134,40
"Texas A&M",129.99747762873,8
"Auburn",5.60890250438553,91
"Purdue",15.8743765969566,72
"Miami (FL)",101.085229467992,25
"Navy",77.6925466881797,34
"Michigan",82.6614666147439,33
"Wisconsin",130.802214378911,6
"Florida",45.9953082760605,44
"Iowa",54.8629190126073,41
"West Virginia",129.997477628729,11
"Illinois",-9.30549245550106,106
"San Diego State",85.8784105825467,31
"Duke",1.20881838369007,96
"Arizona State",101.085229467992,21
"Houston",112.191375802058,17
"Kansas",-16.0244569494685,107
"Washington",115.981699742721,15
"Mississippi State",63.6901814867204,37
"TCU",12.649869930819,80
"Memphis",40.8241240415638,51
"Oklahoma State",21.7099093827559,65
"Alabama",147.342732904954,5
"North Texas",-4.04043377079682,101
"South Florida",62.2294013612532,38
"Pittsburgh",92.9841242621091,27
"East Carolina",101.085229467992,23
"Northwestern",-160.400645694762,118
"Texas",216.756014403767,1
"Florida State",101.085229467992,22
"Marshall",40.8241240415641,50
