"Team","CONF.W","CONF.L","OVERALL.W","OVERALL.L","Score","Rank","Games"
"Abil Christian",0,0,0,1,1074.72825918615,155,1
"Air Force",0,0,2,0,1668.75362807632,70,2
"Akron",0,0,1,1,1564.37917198227,78,2
"Alabama",0,0,2,0,2397.562287034,1,2
"Alabama A&M",0,0,0,1,845.62047129454,186,1
"Alabama St.",0,0,0,1,721.065923345416,193,1
"Albany (N.Y.)",0,0,1,0,1705.57498473183,65,1
"Appalachian State",0,0,1,1,1688.36341631478,66,2
"Arizona",0,0,1,1,1342.50734375227,107,2
"Arizona State",0,0,2,0,2080.24377927857,20,2
"Arkansas",0,0,2,0,2252.58013492366,8,2
"Arkansas State",0,0,0,2,1238.27347050084,119,2
"Army",0,0,2,0,1938.19283138005,35,2
"Auburn",0,0,1,1,1747.87729384751,58,2
"Austin Peay",0,0,0,1,979.399474018081,171,1
"Ball State",0,0,1,1,1438.02611280798,100,2
"Baylor",0,0,2,0,2098.86339778907,18,2
"Bethune-Cookman",0,0,0,1,742.751308615282,192,1
"Boise State",0,0,2,0,1917.2881952947,40,2
"Boston College",0,1,1,1,1518.40605742476,89,2
"Bowling Green",0,0,1,1,1668.70349887826,71,2
"Buffalo",0,0,0,1,913.031518268169,181,1
"BYU",0,0,1,1,1862.74020963458,46,2
"Cal Poly",0,0,0,1,882.05988622173,183,1
"California",0,0,1,1,1672.18451251185,69,2
"Central Michigan",0,0,2,0,2080.06714137909,21,2
"Charleston So",0,0,0,1,1196.58623258154,124,1
"Charlotte",0,0,1,1,1480.45172200564,93,2
"Cincinnati",0,0,2,0,1917.2781218209,41,2
"Clemson",0,0,2,0,2251.0231910718,9,2
"Colgate",0,0,0,1,1046.29943911809,158,1
"Colorado",0,0,2,0,1987.62511459076,28,2
"Colorado State",0,0,1,1,1529.10756284371,85,2
"Connecticut",0,0,1,1,1457.62520634523,96,2
"Duke",0,1,1,1,1483.20915684251,92,2
"E Illinois",0,0,1,0,1534.45573895035,82,1
"E Kentucky",0,0,0,1,964.639684892499,173,1
"E Washington",0,0,1,0,1806.00117241847,48,1
"East Carolina",0,0,2,0,1968.31665531958,32,2
"Eastern Michigan",0,0,1,1,1229.38295643037,120,2
"Elon",0,0,0,1,915.195747804713,180,1
"Florida",1,0,2,0,1917.04384818229,42,2
"Florida A&M",0,0,0,1,1163.65183002885,139,1
"Florida Atlantic",0,0,1,1,1433.14290809995,101,2
"Florida International",0,0,0,2,1135.8707088141,144,2
"Florida State",0,0,2,0,2263.59086426187,6,2
"Fordham",0,0,0,1,1165.27066621808,138,1
"Fresno State",0,0,1,1,1532.72086594542,84,2
"Furman",0,0,0,1,1189.25350911424,130,1
"Georgia",0,0,2,0,2241.56452339582,10,2
"Georgia Southern",1,0,2,0,2157.42480347381,15,2
