"Team","CONF.W","CONF.L","OVERALL.W","OVERALL.L","Score","Rank","Games"
"Abil Christian",0,0,0,1,1130.61051206208,170,1
"Air Force",0,0,2,0,1652.15392861449,71,2
"Akron",0,0,2,1,1521.2162106042,88,2
"Alabama",1,0,3,0,2377.72692627338,1,2
"Alabama A&M",0,0,0,1,982.022797992484,189,1
"Alabama St.",0,0,0,1,931.418609447768,191,1
"Albany (N.Y.)",0,0,1,0,1379.38754216516,108,1
"Appalachian State",0,0,1,2,1820.43853150991,36,2
"Arizona",0,0,2,1,1696.72326149839,61,2
"Arizona State",0,0,3,0,1980.78862556455,15,2
"Arkansas",0,0,3,0,1786.66059136932,41,2
"Arkansas State",0,0,0,3,1320.25288730217,119,2
"Army",0,0,3,0,1855.50477191532,30,2
"Auburn",0,1,1,2,1735.59878042906,49,2
"Austin Peay",0,0,0,1,1013.62786395319,186,1
"Ball State",0,0,2,1,1425.98767406675,102,2
"Baylor",0,0,3,0,2058.14448424776,7,2
"Bethune-Cookman",0,0,0,1,805.62950802448,199,1
"Boise State",0,0,2,0,1695.734292791,62,2
"Boston College",0,2,1,2,1657.0815134601,70,2
"Bowling Green",0,0,1,2,1464.01719201517,97,2
"Buffalo",0,0,0,2,1239.21896083484,131,1
"BYU",0,0,1,2,1698.69412530571,60,2
"Cal Poly",0,0,0,1,1198.54093198003,145,1
"California",0,0,2,1,1667.95514454867,68,2
"Central Michigan",0,0,3,0,1762.71002763464,45,2
"Charleston So",0,0,0,1,1206.77261409276,135,1
"Charlotte",0,0,1,2,1476.85007818393,96,2
"Cincinnati",0,1,2,1,1889.59428891062,27,2
"Clemson",0,0,3,0,1995.85238406982,13,2
"Colgate",0,0,0,1,1057.57116116336,181,1
"Colorado",0,0,2,1,1882.15243628527,28,2
"Colorado State",0,0,2,1,1403.89056310993,106,2
"Connecticut",0,0,2,1,1410.1606501196,104,2
"Delaware",0,0,0,1,1200,141,0
"Duke",0,1,1,2,1488.16730677884,95,2
"E Illinois",0,0,1,0,1237.32154560707,132,1
"E Kentucky",0,0,0,2,981.068874554902,190,1
"E Washington",0,0,1,0,1617.5040113478,74,1
"East Carolina",0,0,2,1,1705.22328271227,58,2
"Eastern Michigan",0,0,2,1,1249.25894080395,129,2
"Elon",0,0,0,1,931.211867339431,192,1
"Florida",1,0,3,0,1895.20161695967,25,2
"Florida A&M",0,0,0,1,1171.23130088571,156,1
"Florida Atlantic",0,0,1,2,1333.76973899115,115,2
"Florida International",0,0,0,3,1139.92190279838,164,2
"Florida State",0,1,2,1,2126.7007404701,4,2
"Fordham",0,0,0,1,1124.90250607623,173,1
"Fresno State",0,0,1,2,1516.68790332379,89,2
"Furman",0,0,0,1,1266.20284663432,126,1
"Georgia",1,0,3,0,1947.78847269088,20,2
"Georgia Southern",2,0,3,0,1917.509987323,24,2
"Georgia State",0,0,0,3,1140.83707757422,162,2
"Georgia Tech",1,0,3,0,1770.76907410183,43,2
"Grambling St",0,0,0,1,1326.61007130389,118,1
"Hampton",0,0,0,1,850.321052934422,196,1
"Hawaii",0,0,1,3,1193.38658906979,146,3
"Houston",1,0,3,0,2138.67362211975,3,2
"Howard",0,0,0,2,1028.30928354833,183,2
"Idaho",0,0,1,2,1191.1503874324,147,2
"Idaho State",0,0,0,2,1178.81317686372,151,1
"Illinois",0,0,1,2,1490.5822846004,93,2
"Illinois State",0,0,1,0,1363.68954059083,112,1
"Indiana",0,0,2,0,1736.54422025681,48,2
"Indiana State",0,0,0,1,1161.87867499297,160,1
"Iowa",0,0,2,1,1872.36683872825,29,2
"Iowa State",0,1,0,3,1330.46517712364,116,2
"Jackson State",0,0,0,1,908.881446335957,193,1
"Jacksonville St",0,0,0,1,1184.7858748474,150,1
"JMU",0,0,0,1,1200,141,0
"Kansas",0,0,1,2,1293.19461969936,122,2
"Kansas State",0,0,1,1,1709.08831319996,56,1
"Kent State",0,0,1,2,1251.73460326073,127,2
"Kentucky",0,1,1,2,1369.36160650652,111,2
"Lamar",0,0,0,1,1207.97455173699,134,1
"Liberty",0,0,0,2,1063.25946042657,179,1
"Louisiana-Lafayette",1,0,2,1,1251.65327256387,128,2
"Louisiana-Monroe",0,1,1,2,1319.92601993007,120,2
"Louisiana Tech",0,0,1,2,1767.84399867144,44,2
"Louisville",2,0,3,0,2010.33094899484,11,2
"LSU",1,0,2,1,1956.11696343617,19,2
"Maine",0,0,0,2,1376.4209045479,110,2
"Marshall",0,0,1,1,1706.49855055231,57,1
"Maryland",0,0,3,0,1717.84530123747,53,2
"Massachusetts",0,0,1,2,1187.38061195387,149,2
"McNeese",0,0,0,1,1163.67764257275,158,1
"Memphis",0,0,2,0,1713.54960319209,55,1
"Mercer",0,0,0,1,1140.59029145013,163,1
"Miami (FL)",0,0,3,0,1848.60543508613,32,2
"Miami (OH)",0,0,0,3,1171.34802878535,155,2
"Michigan",0,0,3,0,1974.63263588548,16,2
"Michigan State",0,0,2,0,1957.25356736568,17,1
"Middle Tennessee",0,0,2,1,1445.46301217989,99,2
"Minnesota",0,0,2,0,1730.9351487643,50,2
"Mississippi State",1,1,1,2,1601.11864044472,76,2
"Mississippi Valley State",0,0,0,1,773.936773618388,201,1
"Missouri",0,1,1,2,1717.36540259989,54,2
"Monmouth",0,0,0,1,1200,141,0
"Montana State",0,0,0,1,1162.07089777277,159,1
"Morgan State",0,0,0,1,1136.35386944769,165,1
"Murray State",0,0,0,1,1027.7049291801,184,1
"N Arizona",0,0,0,1,1189.44407359976,148,1
"N Colorado",0,0,0,1,1200,141,0
"Navy",0,0,3,0,1615.87533828783,75,2
"NC Central",0,0,0,2,1042.94974085445,182,2
"Nebraska",0,0,3,0,2055.62965388471,8,2
"Nevada",0,0,2,1,1378.10631372984,109,2
"New Mexico",0,0,1,2,1343.37458242177,113,2
"New Mexico State",0,0,1,2,1135.88908603578,166,2
"Nicholls",0,0,0,1,1638.81753679921,72,1
"North Carolina",0,0,2,1,1576.91186813324,80,2
"North Carolina A&T",0,0,1,1,1277.02453331819,124,1
"North Carolina State",0,0,2,1,1663.79086002695,69,2
"North Dakota",0,0,0,1,1396.56324235315,107,1
"North Dakota St",0,0,1,0,1200,141,0
"North Texas",0,0,1,2,1277.24445991212,123,2
"Northern Illinois",0,0,0,3,1267.67245667846,125,2
"Northern Iowa",0,0,1,0,1437.89038676541,100,1
"Northwestern",0,0,1,2,1584.14985801765,79,2
"Northwestern St",0,0,0,1,1201.89429442745,137,1
"Notre Dame",0,0,1,2,1894.84109027129,26,2
"Ohio",0,0,1,2,1508.7523222184,91,2
"Ohio State",0,0,3,0,2217.96968490653,2,2
"Oklahoma",0,0,1,2,1853.92243906884,31,2
"Oklahoma State",0,0,2,1,1762.41081663245,46,2
"Old Dominion",0,0,1,2,1313.84973248707,121,2
"Ole Miss",0,1,1,2,1823.06335123379,34,2
"Oregon",0,0,2,1,2043.18421284977,9,2
"Oregon State",0,0,1,1,1564.03646238305,81,1
"Penn State",0,0,2,1,1793.37093231304,39,2
"Pittsburgh",0,0,2,1,1810.95859416949,37,2
"Portland State",0,0,0,2,812.894300302314,197,1
"Prairie View",0,0,0,1,1200.14628825105,138,1
"Presbyterian",0,0,0,1,1105.58124941467,177,1
"Purdue",0,0,1,1,1451.0717203823,98,2
"Rice",0,1,0,3,1246.7317782348,130,2
"Richmond",0,0,1,0,1743.393416395,47,1
"Rutgers",0,0,2,1,1515.1242813656,90,2
"S Carolina St",0,0,0,3,1022.26426700056,185,2
"S Illinois",0,0,0,1,1110.55824129425,176,1
"Sacramento St",0,0,0,1,998.647342415913,188,1
"San Diego State",0,0,3,0,1723.96134064409,52,2
"San Jose State",0,0,1,2,1342.79902168251,114,2
"Savannah State",0,0,0,2,1131.55030518719,168,2
"SE Louisiana",0,0,0,1,1175.91448189895,154,1
"SE Missouri St",0,0,0,1,1160.19648980791,161,1
"SF Austin",0,0,0,1,1131.3188149113,169,1
"SMU",0,0,2,1,1677.15841961102,67,2
"South Alabama",0,2,1,2,1680.71060848185,66,2
"South Carolina",1,1,2,1,1694.48679134474,63,2
"South Dakota",0,0,0,1,875.801933741206,194,1
"South Dakota St",0,0,0,1,1199.02312247942,144,1
"South Florida",0,0,3,0,1725.56969632777,51,2
"Southern",0,0,0,2,857.522115488029,195,2
"Southern Miss",0,0,2,1,1685.70891549029,65,2
"Southern Utah",0,0,0,1,1176.2920339483,153,1
"Stanford",1,0,2,0,2089.22676480004,6,1
"Stony Brook",0,0,0,1,812.39952287333,198,1
"Syracuse",0,1,1,2,1526.11415224346,87,2
"TCU",1,0,2,1,1793.92489245152,38,2
"Temple",0,0,1,2,1434.85275073761,101,2
"Tennessee",0,0,3,0,1995.66417833295,14,2
"Texas",0,0,2,1,1928.37268873066,22,2
"Texas A&M",1,0,3,0,2042.04392374602,10,2
"Texas State",0,0,1,1,1690.21343583317,64,1
"Texas Tech",0,0,2,1,1638.57148562308,73,2
"Toledo",0,0,3,0,1944.22188714321,21,2
"Towson",0,0,0,1,1111.84859601498,175,1
"Troy",0,0,2,1,1704.29338728705,59,2
"Tulane",0,0,1,2,1526.81293489662,85,2
"Tulsa",0,0,2,1,1786.75564306632,40,2
"UC Davis",0,0,0,2,1203.60111463754,136,1
"UCF",0,0,1,2,1497.0749728982,92,2
"UCLA",0,0,2,1,1843.76091002738,33,2
"UNH",0,0,0,1,1127.19638885317,171,1
"UNLV",0,0,1,2,1404.61499424045,105,2
"URI",0,0,0,1,794.456240195051,200,1
"USC",0,1,1,2,1924.93534390331,23,2
"UT Martin",0,0,0,2,1126.33204373272,172,2
"Utah",0,0,3,0,1821.20471396835,35,2
"Utah State",0,0,2,1,1531.22090866974,84,2
"UTEP",0,0,1,2,1562.78551058103,82,2
"UTSA",0,0,1,2,1328.96277051873,117,2
"Vanderbilt",0,1,1,2,1599.05197459363,78,2
"Villanova",0,0,0,1,1168.47778795421,157,1
"Virginia",0,0,0,3,1058.66220687498,180,2
"Virginia Tech",1,0,2,1,1526.1421805198,86,2
"VMI",0,0,0,1,1009.00783987123,187,1
"W Carolina",0,0,0,1,1131.56435941285,167,1
"Wake Forest",1,0,3,0,1599.14191969102,77,2
"Washington",0,0,3,0,1998.48300985475,12,2
"Washington State",0,0,1,2,1490.15302492802,94,2
"Weber State",0,0,0,1,1066.51804634224,178,1
"West Virginia",0,0,2,0,2106.41505392785,5,2
"Western Kentucky",1,0,2,1,1771.57452438489,42,2
"Western Michigan",0,0,3,0,1560.63664314712,83,2
"William & Mary",0,0,0,1,1121.77415595075,174,1
"Wisconsin",0,0,3,0,1957.05564441637,18,2
"Wofford",0,0,0,1,1176.40868449797,152,1
"Wyoming",0,0,2,1,1420.20256056088,103,2
"Youngstown St",0,0,0,1,1233.87381138459,133,1
