"Team","Score","Previous.Score","Rank"
"Air Force",1917.03381375002,1917.03381375002,24
"Akron",1665.2491829536,1665.2491829536,65
"Alabama",2145.08045669233,2145.08045669233,9
"Appalachian State",1717.36981144513,1717.36981144513,55
"Arizona",1728.28283669696,1728.28283669696,54
"Arizona State",2002.29967677892,2002.29967677892,17
"Arkansas",1831.92808218094,1831.92808218094,38
"Arkansas State",1226.30095815466,1226.30095815466,104
"Army",1837.04221933772,1837.04221933772,36
"Auburn",1785.23505178099,1785.23505178099,46
"Ball State",1439.29052851572,1439.29052851572,91
"Baylor",2382.36167004325,2382.36167004325,2
"Boise State",1772.71191656316,1772.71191656316,48
"Boston College",1572.7653122029,1572.7653122029,74
"Bowling Green",1064.910591758,1064.910591758,114
"Buffalo",883.823359359929,883.823359359929,125
"BYU",1760.64171441557,1760.64171441557,50
"California",1787.55345954799,1787.55345954799,45
"Central Michigan",1796.06300619422,1796.06300619422,43
"Charlotte",805.471428686779,805.471428686779,127
"Cincinnati",1577.89654215383,1577.89654215383,73
"Clemson",1882.86809494268,1882.86809494268,28
"Colorado",1756.98640869735,1756.98640869735,51
"Colorado State",1450.03785292742,1450.03785292742,88
"Connecticut",1408.3357924708,1408.3357924708,95
"Duke",1459.56555946894,1459.56555946894,87
"East Carolina",1603.89525289311,1603.89525289311,69
"Eastern Michigan",1281.10499828293,1281.10499828293,102
"Florida",2035.14710828981,2035.14710828981,13
"Florida Atlantic",934.5432588869,934.5432588869,124
"Florida International",1142.26817038636,1142.26817038636,109
"Florida State",1934.60996183052,1934.60996183052,22
"Fresno State",1237.93736822863,1237.93736822863,103
"Georgia",1907.49394997177,1907.49394997177,27
"Georgia Southern",1655.67702836073,1655.67702836073,67
"Georgia State",1165.74413894739,1165.74413894739,107
"Georgia Tech",1873.24294372757,1873.24294372757,31
"Hawaii",990.145320425638,990.145320425638,120
"Houston",2029.70183697884,2029.70183697884,15
"Idaho",867.64557667757,867.64557667757,126
"Illinois",996.85286014623,996.85286014623,119
"Indiana",1691.53699076339,1691.53699076339,63
"Iowa",2179.84634992058,2179.84634992058,8
"Iowa State",1064.94607984375,1064.94607984375,113
"Kansas",958.177664285441,958.177664285441,122
"Kansas State",1914.61748670254,1914.61748670254,26
"Kent State",980.754809791969,980.754809791969,121
"Kentucky",1387.87250694551,1387.87250694551,96
"Louisiana-Lafayette",1433.44038526879,1433.44038526879,92
"Louisiana-Monroe",1442.92753175574,1442.92753175574,90
"Louisiana Tech",1519.55206650345,1519.55206650345,80
"Louisville",2374.33332646523,2374.33332646523,3
"LSU",1960.31179370371,1960.31179370371,21
"Marshall",1042.85257508795,1042.85257508795,115
"Maryland",1579.54287258323,1579.54287258323,72
"Massachusetts",1181.27563163213,1181.27563163213,106
"Memphis",1826.56075269841,1826.56075269841,39
"Miami (FL)",2318.69443716481,2318.69443716481,4
"Miami (OH)",1592.59046303228,1592.59046303228,70
"Michigan",2260.01581942342,2260.01581942342,6
"Michigan State",1978.05996283486,1978.05996283486,20
"Middle Tennessee",1495.89661575331,1495.89661575331,85
"Minnesota",1683.59190281696,1683.59190281696,64
