"Team","Score","Previous.Score","Rank"
"Air Force",2036.10200851879,2036.10200851879,21
"Akron",1265.30003525629,1265.30003525629,97
"Alabama",2112.48368204883,2112.48368204883,14
"Appalachian State",2107.74953283445,2107.74953283445,15
"Arizona",1747.49888751091,1747.49888751091,50
"Arizona State",2395.43399610751,2395.43399610751,5
"Arkansas",1773.56097269667,1773.56097269667,47
"Arkansas State",946.268879449799,946.268879449799,115
"Army",1935.51178345842,1935.51178345842,31
"Auburn",1740.87231001046,1740.87231001046,52
"Ball State",1494.11357040248,1494.11357040248,79
"Baylor",2394.3663443867,2394.3663443867,6
"Boise State",1830.95137980952,1830.95137980952,41
"Boston College",1651.12113118925,1651.12113118925,64
"Bowling Green",57.6228798822488,57.6228798822488,128
"Buffalo",173.874853669128,173.874853669128,127
"BYU",1771.93549086116,1771.93549086116,48
"California",1931.83928442255,1931.83928442255,32
"Central Michigan",1880.86851925735,1880.86851925735,34
"Charlotte",496.069769725289,496.069769725289,125
"Cincinnati",1484.0457734295,1484.0457734295,80
"Clemson",1872.61025130788,1872.61025130788,36
"Colorado",2002.82975864557,2002.82975864557,26
"Colorado State",1451.27826904818,1451.27826904818,86
"Connecticut",1474.94430177312,1474.94430177312,85
"Duke",1318.85215680327,1318.85215680327,96
"East Carolina",1511.33433158327,1511.33433158327,76
"Eastern Michigan",1104.35467544016,1104.35467544016,108
"Florida",2057.81528243861,2057.81528243861,18
"Florida Atlantic",1135.42405499753,1135.42405499753,105
"Florida International",975.969787321231,975.969787321231,114
"Florida State",2248.63586839194,2248.63586839194,10
"Fresno State",1244.95933903293,1244.95933903293,98
"Georgia",1859.32373724002,1859.32373724002,39
"Georgia Southern",1684.99042960314,1684.99042960314,60
"Georgia State",1200.64988326768,1200.64988326768,103
"Georgia Tech",1804.27731442884,1804.27731442884,45
"Hawaii",1019.66170521007,1019.66170521007,110
"Houston",2205.29826659091,2205.29826659091,12
"Idaho",981.32856924775,981.32856924775,112
"Illinois",854.58823217713,854.58823217713,120
"Indiana",1723.32069359869,1723.32069359869,54
"Iowa",2217.89603916094,2217.89603916094,11
"Iowa State",901.845977768807,901.845977768807,117
"Kansas",874.459874193898,874.459874193898,119
"Kansas State",2060.13048364874,2060.13048364874,17
"Kent State",783.054812709266,783.054812709266,122
"Kentucky",1425.10305101845,1425.10305101845,88
"Louisiana-Lafayette",1483.97871457069,1483.97871457069,81
"Louisiana-Monroe",1507.00063399443,1507.00063399443,77
"Louisiana Tech",1718.69449340091,1718.69449340091,55
"Louisville",2739.83831069654,2739.83831069654,3
"LSU",1992.77983721953,1992.77983721953,28
"Marshall",421.276855330755,421.276855330755,126
"Maryland",1585.43036254319,1585.43036254319,72
"Massachusetts",1123.64485560936,1123.64485560936,106
"Memphis",1662.21263836702,1662.21263836702,63
"Miami (FL)",2839.58527110981,2839.58527110981,1
"Miami (OH)",1503.55635431045,1503.55635431045,78
"Michigan",2664.52491651692,2664.52491651692,4
"Michigan State",1861.09202124302,1861.09202124302,38
"Middle Tennessee",806.580068937611,806.580068937611,121
"Minnesota",1683.59189408274,1683.59189408274,61
"Mississippi State",1815.94596342357,1815.94596342357,44
"Missouri",1852.80232603515,1852.80232603515,40
"Navy",1667.46842592076,1667.46842592076,62
"Nebraska",2024.17636751302,2024.17636751302,23
"Nevada",899.698840479851,899.698840479851,118
"New Mexico",980.759494038777,980.759494038777,113
"New Mexico State",927.569660420971,927.569660420971,116
"North Carolina",1638.99738708151,1638.99738708151,65
"North Carolina State",1478.56452284586,1478.56452284586,83
"North Texas",1220.10668234258,1220.10668234258,100
"Northern Illinois",1373.57872327028,1373.57872327028,93
"Northwestern",1701.47951049931,1701.47951049931,57
"Notre Dame",1701.05598326344,1701.05598326344,58
"Ohio",1362.6413583254,1362.6413583254,94
"Ohio State",2742.65648257172,2742.65648257172,2
"Oklahoma",2045.02880962585,2045.02880962585,19
"Oklahoma State",1868.14639048549,1868.14639048549,37
"Old Dominion",675.756259380097,675.756259380097,124
"Ole Miss",1718.42846867645,1718.42846867645,56
"Oregon",2025.71159792034,2025.71159792034,22
"Oregon State",1569.39088591726,1569.39088591726,73
"Penn State",1620.28376696114,1620.28376696114,68
"Pittsburgh",1632.34366361505,1632.34366361505,66
"Purdue",744.610972406748,744.610972406748,123
"Rice",985.281004659077,985.281004659077,111
"Rutgers",1164.83032840322,1164.83032840322,104
"San Diego State",2000.50601594319,2000.50601594319,27
"San Jose State",1202.69866521539,1202.69866521539,102
"SMU",1387.61437651439,1387.61437651439,91
"South Alabama",1239.37277582095,1239.37277582095,99
"South Carolina",1622.72533546449,1622.72533546449,67
"South Florida",2183.29404928886,2183.29404928886,13
"Southern Miss",1595.86355629763,1595.86355629763,71
"Stanford",2308.8039342683,2308.8039342683,7
"Syracuse",1392.18421404497,1392.18421404497,90
"TCU",1693.074270435,1693.074270435,59
"Temple",1385.99015859363,1385.99015859363,92
"Tennessee",2283.05752649846,2283.05752649846,9
"Texas",1725.85478684676,1725.85478684676,53
"Texas A&M",2044.14920948956,2044.14920948956,20
"Texas State",1415.45428155591,1415.45428155591,89
"Texas Tech",2087.65116789596,2087.65116789596,16
"Toledo",1916.01526507608,1916.01526507608,33
"Troy",1771.03351469546,1771.03351469546,49
"Tulane",1433.92868320884,1433.92868320884,87
"Tulsa",2016.43595839666,2016.43595839666,24
"UCF",1513.39927283497,1513.39927283497,75
"UCLA",1879.0414534533,1879.0414534533,35
"UNLV",1081.81846701178,1081.81846701178,109
"USC",1829.61848282203,1829.61848282203,42
"Utah",1820.9805179727,1820.9805179727,43
"Utah State",1214.52353395894,1214.52353395894,101
"UTEP",1357.1923247633,1357.1923247633,95
"UTSA",1104.89265868864,1104.89265868864,107
"Vanderbilt",1476.09075809169,1476.09075809169,84
"Virginia",1480.52409666425,1480.52409666425,82
"Virginia Tech",1973.53270171501,1973.53270171501,29
"Wake Forest",1604.30851904189,1604.30851904189,70
"Washington",2008.46461746405,2008.46461746405,25
"Washington State",1797.0417519806,1797.0417519806,46
"West Virginia",2305.39379889417,2305.39379889417,8
"Western Kentucky",1606.97795862394,1606.97795862394,69
"Western Michigan",1743.41233014329,1743.41233014329,51
"Wisconsin",1962.21393800432,1962.21393800432,30
"Wyoming",1527.64274489171,1527.64274489171,74
