"TEAM","ELO","GAMES","RANK"
"Hawaii",923.902376032543,3,119
"Appalachian State",1790.8921517756,3,22
"Indiana",1648.31997038995,2,35
"Oregon State",1277.77807487803,3,87
"Rice",919.803238408637,4,120
"South Carolina",1369.90504085122,4,74
"Tulane",1304.50538075602,2,82
"Charlotte",1160.1509919747,4,97
"Ball State",1359.10856992033,3,75
"Colorado State",1199.2086557519,2,94
"Kansas State",1592.19802088565,2,43
"Toledo",1754.30608412039,3,25
"Army",1686.67624411058,4,31
"Boise State",1781.73647993688,2,23
"Bowling Green",980.459831448032,4,118
"BYU",1579.83410394524,4,45
"Fresno State",1148.93554596075,3,98
"UCLA",1688.71937890014,4,30
"Clemson",2009.26226004623,3,10
"Georgia Tech",1779.57130981984,4,24
"Georgia",1831.50818326694,3,18
"Kent State",848.45795515181,4,123
"LSU",1617.71434605275,3,40
"Louisiana Tech",1109.92983152828,3,104
"Massachusetts",836.038359472062,3,124
"Miami (OH)",1110.62360185415,3,103
"Missouri",1475.46899611165,3,63
"New Mexico State",779.279093436012,4,126
"Northern Illinois",1021.49107773235,3,114
"Oklahoma",1186.48406410432,2,95
"Rutgers",1322.65750451543,4,79
"San Jose State",831.474475418468,4,125
"South Alabama",1491.18085386401,2,62
"USC",1527.10415265624,4,52
"SMU",1372.3370659299,4,73
"Southern Miss",1400,0,70
"Texas State",1546.53932068187,3,50
"Western Michigan",1917.0225438071,3,14
"Notre Dame",1286.98949332417,4,85
"Ole Miss",1546.88284351893,4,49
"Louisville",2189.39963162399,4,1
"Maryland",1520.19856461107,2,57
"Akron",1471.14601107973,3,64
"Arkansas State",739.914216992518,3,128
"Arkansas",1737.44962212854,4,26
"Boston College",1356.88078373151,3,76
"California",1648.98403499639,4,34
"UCF",1215.76576032575,2,93
"Central Michigan",1526.94319748459,3,53
"Cincinnati",1731.28922094277,3,28
"Connecticut",1300.98165327867,4,83
"Eastern Michigan",1123.62135314906,4,101
"Florida Atlantic",985.016762846094,2,117
"Georgia Southern",1576.02251257024,3,46
"Georgia State",1015.66054252171,3,115
"Idaho",1049.35518783205,4,112
"Iowa State",1079.61980842347,4,109
"Kentucky",1505.22413905181,3,58
"Middle Tennessee",1220.67603154406,4,92
"North Carolina",1448.35931266057,3,65
"UNLV",893.409230519106,4,122
"Nevada",1142.32628831581,4,99
"New Mexico",1096.74855005427,3,107
"North Carolina State",1500,0,59.5
"Louisiana-Monroe",1400,0,70
"Ohio",1286.68369574242,3,86
"Old Dominion",1042.73810809394,2,113
"Penn State",1318.8172390182,4,80
"Texas Tech",1527.89510211935,2,51
"UTEP",1178.74100640938,3,96
"UTSA",1400,0,70
"Troy",1604.38237254784,3,42
"Tulsa",1524.85653497035,4,56
"Utah State",1134.71404632814,4,100
"Virginia Tech",1642.73264447137,4,38
"Virginia",774.6643124988,4,127
"Wake Forest",1824.32427209327,4,19
"Washington State",1525.78009985183,2,55
"Western Kentucky",1444.44690826537,4,66
"Wyoming",1299.58966551279,4,84
"Houston",2019.69526404131,4,8
"Alabama",2037.64098940939,4,5
"Arizona State",1992.17650279723,2,11
"Baylor",2024.39782664554,3,6
"Colorado",1645.48783051743,4,36
"East Carolina",1051.68546627953,2,111
"Florida International",1400,0,70
"Florida State",1908.46273406968,3,16
"Kansas",916.363140635099,2,121
"Miami (FL)",1500,0,59.5
"Michigan State",1414.18070369407,3,67
"Mississippi State",1254.74353967534,4,88
"North Texas",1001.0499514079,4,116
"Ohio State",2022.87012900896,3,7
"Oregon",1526.66029616476,4,54
"Pittsburgh",1606.11388086081,4,41
"San Diego State",1955.79601378039,2,13
"South Florida",1649.0874777407,4,33
"Temple",1315.89221382663,4,81
"Texas A&M",2078.20862139855,3,3
"Navy",1641.54598077647,3,39
"Vanderbilt",1237.5866308079,4,89
"Buffalo",1105.31564635254,2,105
"Duke",1089.66228169986,3,108
"Texas",1564.64952210935,3,47
"Utah",1704.14868090983,4,29
"Tennessee",2102.39338495787,4,2
"Minnesota",1643.50659667307,3,37
"Syracuse",1120.6984542305,4,102
"Stanford",2015.33320816022,3,9
"Air Force",1580.18168095589,2,44
"Louisiana-Lafayette",1400,0,70
"Arizona",1331.15693583884,3,78
"Nebraska",1793.45774377091,4,21
"Auburn",1662.06517830396,4,32
"Purdue",1231.53615718532,2,91
"Michigan",2050.4236960146,4,4
"Wisconsin",1895.3265684228,4,17
"Florida",1961.37865570145,4,12
"Iowa",1731.68991589001,3,27
"West Virginia",1912.30383124907,2,15
"Illinois",1097.08011595721,3,106
"Washington",1821.39304328183,4,20
"TCU",1552.2796845389,3,48
"Memphis",1495.79253784492,2,61
"Oklahoma State",1349.79682344295,3,77
"Northwestern",1232.35820341345,4,90
"Marshall",1062.62154072872,3,110
