"Team","id","score","rank"
"Hawaii",1,15.1590147271916,119
"Appalachian State",2,26.5613983415818,104
"Indiana",3,82.7784801999632,42
"Oregon State",7,29.1272461183619,84
"Rice",8,11.4743513880223,121
"South Carolina",9,132.80468744674,19
"Tulane",13,22.0432266821299,110
"Charlotte",17,27.0198992011126,91.5
"Ball State",19,36.5020982058915,79
"Colorado State",22,63.6810875900802,51
"Kansas State",24,43.3803232037918,73
"Toledo",27,81.9696265363087,43
"Army",28,89.0142576445949,37
"Boise State",33,137.555004265138,17
"Bowling Green",34,27.0198992011126,93
"BYU",35,44.4475309501461,72
"Fresno State",36,27.0198992011126,90
"UCLA",38,80.5283522399014,45
"Clemson",39,155.091254778939,8
"Georgia Tech",44,132.392077851968,21
"Georgia",45,148.278576449005,11
"Kent State",47,27.0198992011125,100
"LSU",49,132.66233638087,20
"Louisiana Tech",50,17.4972285645892,117
"Massachusetts",51,16.7465087649232,118
"Miami (OH)",52,11.4743513880223,127
"Missouri",53,49.1859988380095,65
"New Mexico State",56,20.3361893781638,111
"Northern Illinois",59,11.4743513880223,128
"Oklahoma",61,28.8625450397817,85
"Rutgers",64,59.7396034407621,59
"San Jose State",65,20.0981281332073,113
"South Alabama",67,49.7137518985562,64
"USC",72,43.3018408210224,74
"SMU",74,44.573077093505,71
"Southern Miss",75,41.9674349839883,75
"Texas State",77,31.6906302998431,82
"Western Michigan",83,84.6864769998644,40
"Notre Dame",85,48.5894993289052,67
"Ole Miss",86,27.0198992011125,101
"Louisville",87,168.385574413425,7
"Maryland",88,60.6687321199531,55
"Akron",89,78.9892081335912,46
"Arkansas State",90,11.4743513880223,124
"Arkansas",91,134.143644926979,18
"Boston College",94,22.1487842515557,109
"California",96,87.8130216169144,39
"UCF",97,18.0435808552034,116
"Central Michigan",98,256.891216145399,2
"Cincinnati",99,62.5788728004796,53
"Connecticut",100,28.0110309907229,86
"Eastern Michigan",102,54.3252650526844,61
"Florida Atlantic",103,27.0198992011126,95.5
"Georgia Southern",104,106.360142741738,28
"Georgia State",105,11.4743513880223,125.5
"Idaho",108,27.0198992011155,88
"Iowa State",111,11.4743513880223,125.5
"Kentucky",113,24.2332795891717,106
"Middle Tennessee",115,53.9915107905554,62
"North Carolina",117,59.9535313621847,58
"UNLV",118,27.0198992011141,89
"Nevada",119,53.4115333608334,63
"New Mexico",120,27.0198992011125,103
"North Carolina State",122,60.3312484539767,56
"Louisiana-Monroe",124,18.836353235193,115
"Ohio",125,24.304975039734,105
"Old Dominion",126,27.0198992011125,98.5
"Penn State",127,64.6271013884146,50
"Texas Tech",130,60.1851115208304,57
"UTEP",131,23.1235264109835,108
"UTSA",132,27.0198992011126,91.5
"Troy",133,80.786274240986,44
"Tulsa",134,67.9586873205837,47
"Utah State",135,45.3117762267622,70
"Virginia Tech",136,57.2180211851507,60
"Virginia",137,11.4743513880223,123
"Wake Forest",138,89.6520381512435,36
"Washington State",139,27.2992126686278,87
"Western Kentucky",140,33.4323172543235,81
"Wyoming",141,34.3063019073893,80
"Houston",149,154.849693676914,9
"Alabama",150,141.512248721973,15
"Arizona State",151,149.937369391175,10
"Baylor",152,118.657612466826,23
"Colorado",153,93.2787915589924,34
"East Carolina",155,98.5837189039548,33
"Florida International",156,11.4743513880223,122
"Florida State",157,63.5750419138252,52
"Kansas",159,27.0198992011126,95.5
"Miami (FL)",160,109.102432303495,27
"Michigan State",161,110.228851963401,26
"Mississippi State",162,100.418693676488,31
"North Texas",165,27.0198992011125,98.5
"Ohio State",167,179.237549119391,4
"Oregon",168,38.9625395281365,78
"Pittsburgh",169,102.747080996793,30
"San Diego State",170,172.835266242718,6
"South Florida",171,88.9533453073868,38
"Temple",172,27.0198992011125,102
"Texas A&M",173,177.270290185443,5
"Navy",174,112.314359150289,25
"Vanderbilt",175,48.9681184084515,66
"Buffalo",176,13.7215466088801,120
"Duke",177,20.2204833628286,112
"Texas",178,62.2272519470445,54
"Utah",179,99.5128100136361,32
"Tennessee",180,146.805202017144,12
"Minnesota",181,89.7649825216945,35
"Syracuse",182,27.0198992011126,95.5
"Stanford",183,113.237741028733,24
"Air Force",184,66.0847929763811,49
"Louisiana-Lafayette",185,66.5661122211015,48
"Arizona",186,47.0667707641291,69
"Nebraska",187,145.441178714847,13
"Auburn",188,19.4142622544463,114
"Purdue",189,29.7186728590468,83
"Michigan",190,186.288397185248,3
"Wisconsin",191,301.807449340729,1
"Florida",192,104.933935663424,29
"Iowa",193,40.2136030770994,76
"West Virginia",194,127.33161725013,22
"Illinois",195,27.0198992011126,95.5
"Washington",196,141.685586724551,14
"TCU",197,47.1348572702128,68
"Memphis",198,83.6429078223405,41
"Oklahoma State",199,139.69138065124,16
"Northwestern",200,23.8576048188022,107
"Marshall",201,40.1131807686011,77
