"Team","Score","Rank"
"Hawaii",-267.128862943511,123
"Appalachian State",-44.4189487196301,86
"Indiana",58.098254670038,39
"Oregon State",-26.8560223972499,78
"Rice",-132.040200012371,111
"South Carolina",-6.18172590515843,68
"Tulane",-32.4905584862324,79
"Charlotte",-70.1590612434198,97
"Ball State",2.88978841338091,63
"Colorado State",25.7468650257672,54
"Kansas State",-7.83464294518804,69
"Toledo",64.1173027278898,37
"Army",70.8129702539392,31
"Boise State",112.751181493693,19
"Bowling Green",-432.326054061157,127
"BYU",-121.307620895399,108
"Fresno State",-49.6318124466598,90
"UCLA",48.7592507779324,42
"Clemson",136.19218609384,9
"Georgia Tech",113.400997093333,18
"Georgia",124.051537195313,14
"Kent State",-138.436927395086,113
"LSU",102.187863011093,21
"Louisiana Tech",-49.120610511458,89
"Massachusetts",-198.004387779135,118
"Miami (OH)",-174.350903153419,117
"Missouri",-15.1091695073308,71
"New Mexico State",-789.721082834848,128
"Northern Illinois",-111.550468099052,107
"Oklahoma",-26.4080685995154,77
"Rutgers",29.351765985771,51
"San Jose State",-66.2860060760443,95
"South Alabama",-272.667780598999,124
"USC",-35.1993094565489,81
"SMU",12.1512733571444,62
"Southern Miss",12.5740938751107,61
"Texas State",-165.611146127435,116
"Western Michigan",65.8872216022589,35
"Notre Dame",-25.9543369783051,76
"Ole Miss",-44.5148609470767,87
"Louisville",150.969280376299,7
"Maryland",42.1506764268019,45
"Akron",42.4600555315998,44
"Arkansas State",-205.88394800246,120
"Arkansas",113.625482562687,17
"Boston College",-75.7244804443274,99
"California",57.378656884196,40
"UCF",-41.3665491667041,83
"Central Michigan",238.213645993665,2
"Cincinnati",31.2655900702095,49
"Connecticut",-15.4807614064559,72
"Eastern Michigan",-2.67957415975938,67
"Florida Atlantic",-155.030671701075,114
"Georgia Southern",87.4788219284123,26
"Georgia State",-123.536114739515,109
"Idaho",-317.530137399035,126
"Iowa State",-198.34039593399,119
"Kentucky",-60.9319822890203,94
"Middle Tennessee",-33.6234286513486,80
"North Carolina",25.5279019170308,55
"UNLV",-52.7503344163521,93
"Nevada",-17.6261213738513,73
"New Mexico",-243.515074136968,122
"North Carolina State",24.1769762505826,56
"Louisiana-Monroe",-110.667106264254,105
"Ohio",-125.750861019651,110
"Old Dominion",-108.293312312427,104
"Penn State",30.1490809701955,50
"Texas Tech",31.4091439187758,48
"UTEP",-110.897917636411,106
"UTSA",-71.4653214684286,98
"Troy",52.7192406321158,41
"Tulsa",39.5164867904998,46
"Utah State",-21.0515796259602,74
"Virginia Tech",26.4552229134277,52
"Virginia",-165.272339098293,115
"Wake Forest",69.3214427920313,32
"Washington State",-51.2819716590412,92
"Western Kentucky",0.616454759009983,64
"Wyoming",-2.13122100732487,66
"Houston",136.495512383069,8
"Alabama",123.101381746753,15
"Arizona State",130.530075220546,10
"Baylor",100.880350682014,22
"Colorado",67.8915979411171,34
"East Carolina",20.6457121490027,57
"Florida International",-278.246674424718,125
"Florida State",33.7068049840205,47
"Kansas",-132.046536730557,112
"Miami (FL)",91.6229308618389,24
"Michigan State",84.0280933917359,28
"Mississippi State",-79.5717726457223,100
"North Texas",-66.6966206250377,96
"Ohio State",161.769254167147,4
"Oregon",12.9117368035714,60
"Pittsburgh",67.9206497717663,33
"San Diego State",153.574443062463,6
"South Florida",71.0266122016187,30
"Temple",-41.7037578094217,84
"Texas A&M",158.890606286367,5
"Navy",92.681938650213,23
"Vanderbilt",-98.9934903291442,102
"Buffalo",-212.614221761547,121
"Duke",-104.133500272372,103
"Texas",26.4331343144297,53
"Utah",79.5837699772254,29
"Tennessee",126.978243864994,11
"Minnesota",65.539845054542,36
"Syracuse",-43.5104639094558,85
"Stanford",88.5370333027321,25
"Air Force",43.4809751895494,43
"Louisiana-Lafayette",13.9656482983842,59
"Arizona",-11.0097053917802,70
"Nebraska",126.787117148667,12
"Auburn",-37.7019787724253,82
"Purdue",-48.065880374442,88
"Michigan",168.598326566263,3
"Wisconsin",282.107452198455,1
"Florida",86.8872123445544,27
"Iowa",-1.76511352184837,65
"West Virginia",102.958537359921,20
"Illinois",-50.190900306974,91
"Washington",124.121722450559,13
"TCU",19.1727452335264,58
"Memphis",61.349354276118,38
"Oklahoma State",114.318997563004,16
"Northwestern",-96.5311951640923,101
"Marshall",-22.4126750402697,75
