"TEAM","ELO","GAMES","RANK"
"Hawaii",1242.81281818066,3,97
"Appalachian State",1594.88797578278,3,52
"Indiana",1732.77921207172,2,34
"Oregon State",1462.53215089514,2,71
"Rice",1203.97044098112,3,104
"South Carolina",1782.21596750966,3,29
"Tulane",1240.42464146513,2,98
"Charlotte",1103.21370184928,3,113
"Ball State",1419.810833391,2,75
"Colorado State",1390.77386775758,2,82
"Kansas State",1753.58300743924,2,32
"Toledo",1776.82304646654,3,30
"Army",1831.831556243,3,25
"Boise State",1920.39571725501,2,18
"Bowling Green",966.29483112497,3,122
"BYU",1744.86371680408,3,33
"Fresno State",1280.06973817067,2,91
"UCLA",1596.95868799649,3,51
"Clemson",1723.23160432929,2,36
"Georgia Tech",1953.36525970779,3,16
"Georgia",1652.17687530207,2,46
"Kent State",715.128418751429,3,126
"LSU",1672.15037319426,2,42
"Louisiana Tech",1414.49707156822,2,78
"Massachusetts",1011.67269373396,3,119
"Miami (OH)",1329.61269771784,2,88
"Missouri",1558.29257269761,3,58
"New Mexico State",1155.92276012642,3,109
"Northern Illinois",1260.58148026682,3,95
"Oklahoma",1566.59642723649,3,56
"Rutgers",1568.56765860986,3,55
"San Jose State",1179.18860978804,3,108
"South Alabama",1386.04213047125,3,83
"USC",1717.05379309788,3,37
"SMU",1442.71903955195,3,74
"Southern Miss",1544.0567598137,3,60
"Texas State",1470.82916830806,2,69
"Western Michigan",1446.27151324528,3,73
"Notre Dame",1663.99035455771,3,44
"Ole Miss",1448.52898435789,3,72
"Louisville",2142.59693534247,3,3
"Maryland",1562.02623826042,3,57
"Akron",1342.36645586743,2,86
"Arkansas State",958.668124254979,3,123
"Arkansas",1692.92402895033,3,39
"Boston College",1647.91826165792,3,47
"California",1832.95180554631,3,23
"UCF",1229.01982712426,2,101
"Central Michigan",2106.89802620612,3,7
"Cincinnati",1412.43260608006,2,79
"Connecticut",1143.07092390848,3,111
"Eastern Michigan",1153.47816165735,3,110
"Florida Atlantic",1291.0037499551,2,90
"Georgia Southern",1606.29809071847,3,49
"Georgia State",1068.53840227565,3,118
"Idaho",1136.53274768137,3,112
"Iowa State",642.381271700008,3,127
"Kentucky",1181.12653074178,3,107
"Middle Tennessee",1261.6253033499,3,94
"North Carolina",1304.38027542427,2,89
"UNLV",1269.53941701039,3,93
"Nevada",1181.93241558678,3,106
"New Mexico",1207.28433133507,3,103
"North Carolina State",1515.97166825464,3,64
"Louisiana-Monroe",1230.03483623636,2,100
"Ohio",1186.11809192136,3,105
"Old Dominion",1102.90599689962,3,114
"Penn State",1349.77361760173,3,84
"Texas Tech",1518.58795985951,2,63
"UTEP",1629.28389121617,3,48
"UTSA",1394.31423923228,2,81
"Troy",1412.21222389337,3,80
"Tulsa",1682.2019840524,3,41
"Utah State",1342.37991641341,3,85
"Virginia Tech",1469.3268014635,3,70
"Virginia",571.343297794819,3,128
"Wake Forest",1536.34446250757,3,61
"Washington State",1528.282794176,2,62
"Western Kentucky",1659.28948831702,3,45
"Wyoming",1545.47188932497,3,59
"Houston",1912.26392224564,3,19
"Alabama",2139.59164287775,3,4
"Arizona State",2008.38567425314,2,10
"Baylor",1826.28280336785,2,26
"Colorado",1933.50853116316,3,17
"East Carolina",1908.25735233253,2,20
"Florida International",985.499538808225,3,121
"Florida State",1856.03566601537,2,22
"Kansas",880.473621196104,2,125
"Miami (FL)",1832.37498543686,3,24
"Michigan State",1572.93423871074,2,53
"Mississippi State",1689.55823293781,3,40
"North Texas",1068.6913214079,3,117
"Ohio State",2115.91511569667,3,6
"Oregon",1571.89677776938,3,54
"Pittsburgh",1732.27286110024,3,35
"San Diego State",2241.57937570967,2,1
"South Florida",1789.99590011913,3,28
"Temple",1227.11099971834,3,102
"Texas A&M",1953.45598908172,2,15
"Navy",1497.08699117228,3,66
"Vanderbilt",1478.4489416342,3,68
"Buffalo",1271.19955150577,1,92
"Duke",1077.34919019739,3,116
"Texas",1908.07821532715,3,21
"Utah",1666.13615784783,3,43
"Tennessee",1962.15696612988,3,13
"Minnesota",1776.75795552591,2,31
"Syracuse",1259.93288281515,3,96
"Stanford",2160.00948116383,2,2
"Air Force",1603.16048300923,1,50
"Louisiana-Lafayette",1330.00067424109,2,87
"Arizona",1415.98394754957,2,77
"Nebraska",1953.5660436557,3,14
"Auburn",1416.21170282166,3,76
"Purdue",939.560069558429,1,124
"Michigan",2088.54693913681,3,8
"Wisconsin",1978.25550369061,3,12
"Florida",2121.93583264561,3,5
"Iowa",1797.00178328433,2,27
"West Virginia",2029.61303008331,1,9
"Illinois",994.991839463386,3,120
"Washington",1986.68869393378,3,11
"TCU",1503.36020104115,2,65
"Memphis",1486.29580685552,1,67
"Oklahoma State",1707.46405485502,2,38
"Northwestern",1231.37784176193,3,99
"Marshall",1093.60803763718,2,115
