"TEAM","ELO","GAMES","RANK"
"Hawaii",1194.65471296481,3,105
"Appalachian State",1536.02875913738,3,61
"Indiana",1816.94477397969,2,32
"Oregon State",1435.55713551751,2,74
"Rice",1209.23328230111,3,101
"South Carolina",1963.31479757778,3,20
"Tulane",1202.29748435994,2,102
"Charlotte",1099.26614444592,3,110
"Ball State",1401.97089917046,2,78
"Colorado State",1392.2393299045,2,79
"Kansas State",1739.08873863116,2,41
"Toledo",1785.79220084806,3,37
"Army",1861.0143969573,3,28
"Boise State",2153.46322041461,2,8
"Bowling Green",1098.88799215637,3,111
"BYU",1671.60695704485,3,49
"Fresno State",1283.59892972636,2,91
"UCLA",1616.89397516908,3,52
"Clemson",1913.12113374122,2,24
"Georgia Tech",2016.81665146785,3,17
"Georgia",1724.66593802138,2,42
"Kent State",597.116508721453,3,126
"LSU",1679.13808917645,2,48
"Louisiana Tech",1298.73040603111,2,86
"Massachusetts",991.075374834212,3,118
"Miami (OH)",1225.06335658521,2,100
"Missouri",1514.48406818046,3,65
"New Mexico State",1198.99447400296,3,103
"Northern Illinois",1248.69187417532,3,95
"Oklahoma",1542.24418480613,3,58
"Rutgers",1631.06236980041,3,51
"San Jose State",1230.46305772434,3,99
"South Alabama",1426.44765172668,3,75
"USC",1762.81626684382,3,39
"SMU",1471.82387238545,3,69
"Southern Miss",1532.85900088594,3,62
"Texas State",1509.43007427972,2,66
"Western Michigan",1516.05159476056,3,64
"Notre Dame",1552.48105464299,3,56
"Ole Miss",1364.19924216718,3,83
"Louisville",2193.37622405288,3,7
"Maryland",1604.84238903795,3,53
"Akron",1455.37305445055,2,72
"Arkansas State",929.715479164537,3,124
"Arkansas",1913.88975562651,3,23
"Boston College",1542.14366495992,3,59
"California",1872.98720788341,3,26
"UCF",1090.69664815102,2,114
"Central Michigan",2270.53281310654,3,2
"Cincinnati",1424.59543037221,2,76
"Connecticut",1379.19742095807,3,81
"Eastern Michigan",1101.44357370737,3,109
"Florida Atlantic",1287.69298864183,2,89
"Georgia Southern",1786.97570856262,3,36
"Georgia State",955.308243915067,3,121
"Idaho",1318.24976706518,3,85
"Iowa State",521.418956763461,3,127
"Kentucky",1166.92237327849,3,106
"Middle Tennessee",1241.88704106467,3,97
"North Carolina",1247.70099264253,2,96
"UNLV",1285.2224084673,3,90
"Nevada",1279.35901727591,3,92
"New Mexico",1095.80186307432,3,112
"North Carolina State",1454.23791772268,3,73
"Louisiana-Monroe",1195.57712949655,2,104
"Ohio",1062.57542240961,3,115
"Old Dominion",1103.20000901381,3,108
"Penn State",1294.12000128181,3,87
"Texas Tech",1581.99947995396,2,54
"UTEP",1684.41294714672,3,47
"UTSA",1262.50813575075,2,93
"Troy",1412.64121403233,3,77
"Tulsa",1702.83127368522,3,45
"Utah State",1356.06929917145,3,84
"Virginia Tech",1523.90758307106,3,63
"Virginia",519.627301725382,3,128
"Wake Forest",1759.89870021964,3,40
"Washington State",1546.26092565864,2,57
"Western Kentucky",1714.58012923285,3,43
"Wyoming",1706.88947558459,3,44
"Houston",1961.92151044841,3,21
"Alabama",2202.89266134036,3,5
"Arizona State",2091.08972543682,2,13
"Baylor",1843.32004917502,2,29
"Colorado",1940.91845015759,3,22
"East Carolina",2038.42807471598,2,15
"Florida International",935.490018682532,3,123
"Florida State",1802.78132174522,2,33
"Kansas",748.693937149869,2,125
"Miami (FL)",1841.76908375032,3,30
"Michigan State",1666.11154889863,2,50
"Mississippi State",1554.55582665741,3,55
"North Texas",1052.082923145,3,116
"Ohio State",2129.52785786974,3,9
"Oregon",1502.46344033001,3,67
"Pittsburgh",1863.80301440385,3,27
"San Diego State",2451.37973288527,2,1
"South Florida",1794.82905356958,3,34
"Temple",1151.91914209615,3,107
"Texas A&M",2096.92405724745,2,12
"Navy",1828.47880918978,3,31
"Vanderbilt",1473.99361969075,3,68
"Buffalo",1287.94828965984,1,88
"Duke",972.875700617089,3,120
"Texas",1971.98774177205,3,19
"Utah",1791.9992485089,3,35
"Tennessee",2016.93962728553,3,16
"Minnesota",1898.74309043983,2,25
"Syracuse",1258.40000782838,3,94
"Stanford",2203.94776267912,2,4
"Air Force",1541.52332080159,1,60
"Louisiana-Lafayette",1458.46914381809,2,71
"Arizona",1234.12722357111,2,98
"Nebraska",2125.68317846988,3,10
"Auburn",1365.27787874344,3,82
"Purdue",945.510330037646,1,122
"Michigan",2109.58863179406,3,11
"Wisconsin",2193.65870423442,3,6
"Florida",2211.39078160121,3,3
"Iowa",1769.1230418448,2,38
"West Virginia",1979.48061161399,1,18
"Illinois",978.342601035055,3,119
"Washington",2063.17448532599,3,14
"TCU",1383.0440696659,2,80
"Memphis",1466.31601522708,1,70
"Oklahoma State",1690.87841928817,2,46
"Northwestern",1041.55745975434,3,117
"Marshall",1093.65784271669,2,113
