"Team","Previous.Score","Score","Rank"
"Air Force",2229.51351728752,2229.51351728752,14
"Akron",1262.24171052612,1262.24171052612,109
"Alabama",2011.10835658875,2011.10835658875,27
"Appalachian State",2050.56967250465,2050.56967250465,23
"Arizona",1663.59003297841,1663.59003297841,74
"Arizona State",2164.98009242259,2164.98009242259,17
"Arkansas",1792.12657691304,1792.12657691304,53
"Arkansas State",798.064389502092,798.064389502092,125
"Army",2041.90977207193,2041.90977207193,25
"Auburn",1737.96572183969,1737.96572183969,66
"Ball State",1820.13973850673,1820.13973850673,46
"Baylor",2479.60342999457,2479.60342999457,5
"Boise State",1979.84263144737,1979.84263144737,29
"Boston College",1724.27697924506,1724.27697924506,70
"Bowling Green",1180.12572756985,1180.12572756985,113
"Buffalo",1106.6836037726,1106.6836037726,116
"BYU",1774.14376936563,1774.14376936563,55
"California",1999.87511481798,1999.87511481798,28
"Central Michigan",1966.62692466839,1966.62692466839,31
"Charlotte",669.04787840154,669.04787840154,127
"Cincinnati",1780.54922197187,1780.54922197187,54
"Clemson",1888.49369292968,1888.49369292968,36
"Colorado",2449.5032078936,2449.5032078936,6
"Colorado State",1773.79897414413,1773.79897414413,56
"Connecticut",1555.09823785327,1555.09823785327,85
"Duke",1406.36101256223,1406.36101256223,99
"East Carolina",1536.73258828871,1536.73258828871,88
"Eastern Michigan",1215.72480368437,1215.72480368437,110
"Florida",2171.89069972564,2171.89069972564,16
"Florida Atlantic",1365.42797576165,1365.42797576165,102
"Florida International",1032.24833951083,1032.24833951083,120
"Florida State",2160.02013857296,2160.02013857296,18
"Fresno State",1182.94195563768,1182.94195563768,112
"Georgia",1823.16204785031,1823.16204785031,42
"Georgia Southern",1820.65185886052,1820.65185886052,45
"Georgia State",1652.5729458806,1652.5729458806,75
"Georgia Tech",1824.39768724071,1824.39768724071,41
"Hawaii",1289.88335436724,1289.88335436724,107
"Houston",2391.18217141456,2391.18217141456,7
"Idaho",1385.40845221049,1385.40845221049,101
"Illinois",832.493042667169,832.493042667169,123
"Indiana",2150.08998572376,2150.08998572376,19
"Iowa",1753.46170400765,1753.46170400765,61
"Iowa State",1333.52420706253,1333.52420706253,103
"Kansas",874.875883219958,874.875883219958,122
"Kansas State",1970.24039265281,1970.24039265281,30
"Kent State",1267.82689691771,1267.82689691771,108
"Kentucky",1523.27725986426,1523.27725986426,89
"Louisiana-Lafayette",1614.57412899159,1614.57412899159,80
"Louisiana-Monroe",1760.05277279,1760.05277279,58
"Louisiana Tech",1647.7253080924,1647.7253080924,76
"Louisville",2735.68029580953,2735.68029580953,4
"LSU",1793.22199411054,1793.22199411054,52
"Marshall",632.384451896304,632.384451896304,128
"Maryland",1714.10218267818,1714.10218267818,71
"Massachusetts",1174.93203536749,1174.93203536749,114
"Memphis",2260.08405973005,2260.08405973005,11
"Miami (FL)",2831.85867741908,2831.85867741908,3
"Miami (OH)",1413.19277993781,1413.19277993781,97
"Michigan",2883.69018277263,2883.69018277263,2
"Michigan State",1952.59873751594,1952.59873751594,32
"Middle Tennessee",1304.41402106476,1304.41402106476,105
"Minnesota",1869.21077540479,1869.21077540479,38
"Mississippi State",1744.45139747681,1744.45139747681,63
"Missouri",1835.7596600678,1835.7596600678,39
"Navy",1745.4620308154,1745.4620308154,62
"Nebraska",2068.4992058551,2068.4992058551,22
"Nevada",1417.44420394289,1417.44420394289,96
"New Mexico",1138.99526414032,1138.99526414032,115
"New Mexico State",1057.48022154243,1057.48022154243,119
"North Carolina",1619.55591438168,1619.55591438168,79
"North Carolina State",1436.2354261278,1436.2354261278,94
"North Texas",1301.60670726746,1301.60670726746,106
"Northern Illinois",1431.58364489675,1431.58364489675,95
"Northwestern",1756.73788646869,1756.73788646869,59
"Notre Dame",1822.61017149112,1822.61017149112,44
"Ohio",1447.61621568213,1447.61621568213,93
"Ohio State",2943.69089315938,2943.69089315938,1
"Oklahoma",2146.56899802784,2146.56899802784,20
"Oklahoma State",1939.99844568534,1939.99844568534,34
"Old Dominion",743.107595273206,743.107595273206,126
"Ole Miss",1761.10362460159,1761.10362460159,57
"Oregon",1898.75396586048,1898.75396586048,35
"Oregon State",1741.41634071282,1741.41634071282,64
"Penn State",1725.04780036714,1725.04780036714,69
"Pittsburgh",1738.91572047077,1738.91572047077,65
"Purdue",1067.66820398884,1067.66820398884,118
"Rice",818.002759796271,818.002759796271,124
"Rutgers",1310.14109953284,1310.14109953284,104
"San Diego State",2043.82924458958,2043.82924458958,24
"San Jose State",1213.21170115339,1213.21170115339,111
"SMU",1796.06885820364,1796.06885820364,51
"South Alabama",1598.85911672595,1598.85911672595,82
"South Carolina",1575.37608712641,1575.37608712641,84
"South Florida",2235.20658715265,2235.20658715265,12
"Southern Miss",1642.34131644803,1642.34131644803,77
"Stanford",2270.18955803104,2270.18955803104,10
"Syracuse",1576.36878903392,1576.36878903392,83
"TCU",1666.24172878949,1666.24172878949,73
"Temple",1507.51881201935,1507.51881201935,90
"Tennessee",2314.55741513954,2314.55741513954,8
"Texas",1798.426566805,1798.426566805,50
"Texas A&M",2039.71451648889,2039.71451648889,26
"Texas State",1405.52042252433,1405.52042252433,100
"Texas Tech",1885.36719999456,1885.36719999456,37
"Toledo",2233.91819164336,2233.91819164336,13
"Troy",1825.54101590134,1825.54101590134,40
"Tulane",1549.68010712216,1549.68010712216,86
"Tulsa",2123.73697627836,2123.73697627836,21
