Team,Previous.Score,Score,Rank
Louisville,3347.708336,3347.708336,1
Ohio State,2975.936554,2975.936554,2
Michigan,2704.648789,2704.648789,3
Florida State,2604.588684,2604.588684,4
Toledo,2517.807874,2517.807874,5
Houston,2491.334735,2491.334735,6
Tennessee,2412.616873,2412.616873,7
Texas A&M,2379.051069,2379.051069,8
Alabama,2378.112046,2378.112046,9
Stanford,2360.42127,2360.42127,10
Army,2360.3636,2360.3636,11
Arizona State,2301.015804,2301.015804,12
Baylor,2281.416187,2281.416187,13
Ole Miss,2279.442462,2279.442462,14
Oklahoma,2264.012839,2264.012839,15
Clemson,2235.768829,2235.768829,16
West Virginia,2198.715623,2198.715623,17
Wisconsin,2186.609281,2186.609281,18
Nebraska,2154.125036,2154.125036,19
Washington,2148.302673,2148.302673,20
South Florida,2142.367087,2142.367087,21
Colorado,2139.606906,2139.606906,22
Florida,2128.251704,2128.251704,23
Minnesota,2120.579875,2120.579875,24
UCLA,2118.109664,2118.109664,25
Appalachian State,2116.031046,2116.031046,26
Auburn,2112.144762,2112.144762,27
San Diego State,2098.994193,2098.994193,28
Virginia Tech,2094.174932,2094.174932,29
Boise State,2087.472233,2087.472233,30
Arkansas,2072.72729,2072.72729,31
Troy,2070.963903,2070.963903,32
TCU,2063.930692,2063.930692,33
LSU,2061.779615,2061.779615,34
Oregon,2055.443091,2055.443091,35
Memphis,2046.126133,2046.126133,36
Utah,2039.872904,2039.872904,37
Central Michigan,2037.398014,2037.398014,38
Kansas State,2036.31172,2036.31172,39
Texas Tech,2034.559197,2034.559197,40
Western Michigan,2033.739336,2033.739336,41
Tulsa,2022.085328,2022.085328,42
Cincinnati,2018.615913,2018.615913,43
BYU,2013.408782,2013.408782,44
Wake Forest,2001.185055,2001.185055,45
California,1998.526111,1998.526111,46
Arizona,1981.483855,1981.483855,47
Oklahoma State,1977.613852,1977.613852,48
Penn State,1972.503454,1972.503454,49
Iowa,1969.643524,1969.643524,50
Missouri,1937.34811,1937.34811,51
Navy,1937.102077,1937.102077,52
USC,1935.683231,1935.683231,53
Washington State,1929.941349,1929.941349,54
Georgia,1926.299948,1926.299948,55
Pittsburgh,1913.536959,1913.536959,56
Indiana,1911.374376,1911.374376,57
Temple,1906.377325,1906.377325,58
Northwestern,1905.676659,1905.676659,59
Georgia Tech,1905.537011,1905.537011,60
North Carolina,1895.174294,1895.174294,61
Mississippi State,1881.456544,1881.456544,62
Akron,1872.734177,1872.734177,63
Maryland,1866.01055,1866.01055,64
Tulane,1844.011817,1844.011817,65
Air Force,1839.304452,1839.304452,66
Michigan State,1836.030734,1836.030734,67
UCF,1833.43806,1833.43806,68
Georgia Southern,1833.151346,1833.151346,69
Oregon State,1833.033841,1833.033841,70
Boston College,1805.632001,1805.632001,71
SMU,1804.007618,1804.007618,72
Texas,1790.150098,1790.150098,73
Syracuse,1789.985827,1789.985827,74
East Carolina,1789.460075,1789.460075,75
Rutgers,1784.412009,1784.412009,76
Kentucky,1782.812411,1782.812411,77
Colorado State,1777.781104,1777.781104,78
Fresno State,1759.966738,1759.966738,79
Duke,1725.578963,1725.578963,80
Vanderbilt,1718.336067,1718.336067,81
Eastern Michigan,1709.651269,1709.651269,82
Iowa State,1701.753649,1701.753649,83
Texas State,1700.768715,1700.768715,84
Western Kentucky,1694.418086,1694.418086,85
Notre Dame,1693.648192,1693.648192,86
Ohio,1688.858686,1688.858686,87
South Carolina,1683.378359,1683.378359,88
Ball State,1680.922145,1680.922145,89
South Alabama,1678.205144,1678.205144,90
Wyoming,1668.680632,1668.680632,91
Utah State,1655.460133,1655.460133,92
Kent State,1635.282684,1635.282684,93
Florida Atlantic,1629.590622,1629.590622,94
Purdue,1624.687404,1624.687404,95
Miami (OH),1608.887965,1608.887965,96
Idaho,1604.362378,1604.362378,97
Old Dominion,1582.256871,1582.256871,98
UNLV,1571.333775,1571.333775,99
Louisiana Tech,1568.716222,1568.716222,100
Charlotte,1553.074057,1553.074057,101
San Jose State,1547.35469,1547.35469,102
Middle Tennessee,1545.351008,1545.351008,103
Connecticut,1539.603031,1539.603031,104
UTEP,1539.333493,1539.333493,105
Northern Illinois,1537.739055,1537.739055,106
Hawaii,1523.37318,1523.37318,107
Virginia,1516.307234,1516.307234,108
Illinois,1512.047078,1512.047078,109
Nevada,1490.636552,1490.636552,110
New Mexico,1463.432904,1463.432904,111
North Texas,1441.938989,1441.938989,112
Georgia State,1416.043072,1416.043072,113
Arkansas State,1411.64387,1411.64387,114
Marshall,1407.857158,1407.857158,115
Bowling Green,1397.729656,1397.729656,116
Massachusetts,1280.264337,1280.264337,117
Rice,1263.160655,1263.160655,118
New Mexico State,1261.306249,1261.306249,119
Kansas,1177.056982,1177.056982,120
Buffalo,976.801001,976.801001,121
