Team,Score,Rank
Louisville,69.90578495,1
Tennessee,57.66968437,2
Texas A&M,56.72266924,3
Clemson,52.52654337,4
Wisconsin,47.40759814,5
Michigan,44.46870932,6
Houston,42.73648731,7
Minnesota,42.2608377,8
Florida State,40.76456318,9
Alabama,37.17444912,10
Wake Forest,34.08261394,11
Arizona State,31.32894564,12
Washington,27.88235909,13
West Virginia,27.0389008,14
Ole Miss,26.36332367,15
Stanford,25.73662762,16
Nebraska,25.60486026,17
Virginia Tech,23.66028975,18
Cincinnati,23.62673968,19
Baylor,23.50886403,20
Georgia,22.69208684,21
Ohio State,22.49194241,22
Western Michigan,22.38678272,23
LSU,21.31372506,24
Nevada,21.03307336,25
Navy,20.13724135,26
Boise State,19.58372881,27
Central Michigan,17.47737269,28
Colorado,17.36405927,29
Arkansas,17.20854638,30
Purdue,16.91725264,31
North Carolina,16.19316675,32
San Diego State,16.02438881,33
Auburn,15.08933185,34
Utah,14.17039702,35
Georgia Tech,13.49797162,36
Michigan State,13.46896208,37
TCU,12.32505079,38
Notre Dame,12.23388153,39
Troy,12.19155594,40
Army,11.33307334,41
Kansas State,10.83357763,42
Texas Tech,10.59408802,43
Virginia,10.58931226,44
Florida,10.41865811,45
Memphis,9.945263302,46
Oklahoma State,9.643750029,47
Texas,9.562711952,48
Indiana,9.446125028,49
South Florida,9.21912928,50
Pittsburgh,9.191763496,51
Temple,9.124951167,52
Buffalo,8.847343026,53
Georgia Southern,8.770392715,54
Oregon,8.75246889,55
Tulsa,8.668838919,56
California,8.632407476,57
East Carolina,8.457240233,58
Air Force,8.340374499,59
Toledo,7.713637261,60
Iowa,7.249038859,61
Arizona,6.638338675,62
Maryland,6.625425888,63
Penn State,6.331572574,64
Ball State,6.168361063,65
Duke,6.048550362,66
Missouri,5.551974563,67
Boston College,5.438449428,68
Syracuse,5.275426087,69
Colorado State,5.249894635,70
Eastern Michigan,5.022341875,71
Akron,4.957981347,72
Vanderbilt,4.645646283,73
Appalachian State,4.591002147,74
Mississippi State,4.383486789,75
South Carolina,4.367582501,76
Middle Tennessee,4.254906239,77
Tulane,4.090574269,78
Kentucky,4.064064384,79
Rutgers,4.049240598,80
UCLA,3.889594845,81
Northwestern,3.820782299,82
SMU,3.765062773,83
Idaho,3.722645715,84
South Alabama,3.639832814,85
Connecticut,3.618585444,86
Washington State,3.595836557,87
Oklahoma,3.427359878,88
BYU,2.924788249,89
USC,2.875654531,90
Florida Atlantic,2.682870359,91
Old Dominion,2.643957246,92
Wyoming,2.642572128,93
Utah State,2.552880672,94
UCF,2.265458393,95
Ohio,2.022996804,96
Oregon State,2.018697495,97
Texas State,1.802192824,98
Western Kentucky,1.766617088,99
Marshall,1.731191929,100
North Texas,1.645864573,101
Kent State,1.581773027,102
Charlotte,1.477218171,103
Illinois,1.378175969,104
Bowling Green,1.250222227,105
Fresno State,1.018089785,106
Louisiana Tech,0.911204868,107
Kansas,0.727077408,108
Hawaii,0.504391775,109
Iowa State,0.460483839,110
Massachusetts,0.000760143,111
UNLV,-0.204944617,112
San Jose State,-0.246795343,113
UTEP,-0.533571629,114
New Mexico,-1.151146231,115
New Mexico State,-1.677300496,116
Georgia State,-2.736428912,117
Northern Illinois,-3.817215627,118
Miami (OH),-3.931921444,119
Arkansas State,-5.977146034,120
Rice,-8.068157476,121
