TEAM,ELO,GAMES,RANK
Louisville,2189.399632,4,1
Tennessee,2102.393385,4,2
Texas A&M,2078.208621,3,3
Michigan,2050.423696,4,4
Alabama,2037.640989,4,5
Baylor,2024.397827,3,6
Ohio State,2022.870129,3,7
Houston,2019.695264,4,8
Stanford,2015.333208,3,9
Clemson,2009.26226,3,10
Arizona State,1992.176503,2,11
Florida,1961.378656,4,12
San Diego State,1955.796014,2,13
Western Michigan,1917.022544,3,14
West Virginia,1912.303831,2,15
Florida State,1908.462734,3,16
Wisconsin,1895.326568,4,17
Georgia,1831.508183,3,18
Wake Forest,1824.324272,4,19
Washington,1821.393043,4,20
Nebraska,1793.457744,4,21
Appalachian State,1790.892152,3,22
Boise State,1781.73648,2,23
Georgia Tech,1779.57131,4,24
Toledo,1754.306084,3,25
Arkansas,1737.449622,4,26
Iowa,1731.689916,3,27
Cincinnati,1731.289221,3,28
Utah,1704.148681,4,29
UCLA,1688.719379,4,30
Army,1686.676244,4,31
Auburn,1662.065178,4,32
South Florida,1649.087478,4,33
California,1648.984035,4,34
Indiana,1648.31997,2,35
Colorado,1645.487831,4,36
Minnesota,1643.506597,3,37
Virginia Tech,1642.732644,4,38
Navy,1641.545981,3,39
LSU,1617.714346,3,40
Pittsburgh,1606.113881,4,41
Troy,1604.382373,3,42
Kansas State,1592.198021,2,43
Air Force,1580.181681,2,44
BYU,1579.834104,4,45
Georgia Southern,1576.022513,3,46
Texas,1564.649522,3,47
TCU,1552.279685,3,48
Ole Miss,1546.882844,4,49
Texas State,1546.539321,3,50
Texas Tech,1527.895102,2,51
USC,1527.104153,4,52
Central Michigan,1526.943197,3,53
Oregon,1526.660296,4,54
Washington State,1525.7801,2,55
Tulsa,1524.856535,4,56
Maryland,1520.198565,2,57
Kentucky,1505.224139,3,58
North Carolina State,1500,0,59.5
Miami (FL),1500,0,59.5
Memphis,1495.792538,2,61
South Alabama,1491.180854,2,62
Missouri,1475.468996,3,63
Akron,1471.146011,3,64
North Carolina,1448.359313,3,65
Western Kentucky,1444.446908,4,66
Michigan State,1414.180704,3,67
Southern Miss,1400,0,70
Louisiana-Monroe,1400,0,70
UTSA,1400,0,70
Florida International,1400,0,70
Louisiana-Lafayette,1400,0,70
SMU,1372.337066,4,73
South Carolina,1369.905041,4,74
Ball State,1359.10857,3,75
Boston College,1356.880784,3,76
Oklahoma State,1349.796823,3,77
Arizona,1331.156936,3,78
Rutgers,1322.657505,4,79
Penn State,1318.817239,4,80
Temple,1315.892214,4,81
Tulane,1304.505381,2,82
Connecticut,1300.981653,4,83
Wyoming,1299.589666,4,84
Notre Dame,1286.989493,4,85
Ohio,1286.683696,3,86
Oregon State,1277.778075,3,87
Mississippi State,1254.74354,4,88
Vanderbilt,1237.586631,4,89
Northwestern,1232.358203,4,90
Purdue,1231.536157,2,91
Middle Tennessee,1220.676032,4,92
UCF,1215.76576,2,93
Colorado State,1199.208656,2,94
Oklahoma,1186.484064,2,95
UTEP,1178.741006,3,96
Charlotte,1160.150992,4,97
Fresno State,1148.935546,3,98
Nevada,1142.326288,4,99
Utah State,1134.714046,4,100
Eastern Michigan,1123.621353,4,101
Syracuse,1120.698454,4,102
Miami (OH),1110.623602,3,103
Louisiana Tech,1109.929832,3,104
Buffalo,1105.315646,2,105
Illinois,1097.080116,3,106
New Mexico,1096.74855,3,107
Duke,1089.662282,3,108
Iowa State,1079.619808,4,109
Marshall,1062.621541,3,110
East Carolina,1051.685466,2,111
Idaho,1049.355188,4,112
Old Dominion,1042.738108,2,113
Northern Illinois,1021.491078,3,114
Georgia State,1015.660543,3,115
North Texas,1001.049951,4,116
Florida Atlantic,985.0167628,2,117
Bowling Green,980.4598314,4,118
Hawaii,923.902376,3,119
Rice,919.8032384,4,120
Kansas,916.3631406,2,121
UNLV,893.4092305,4,122
Kent State,848.4579552,4,123
Massachusetts,836.0383595,3,124
San Jose State,831.4744754,4,125
New Mexico State,779.2790934,4,126
Virginia,774.6643125,4,127
Arkansas State,739.914217,3,128
