"Team","Offense....rankings.Offense.Rank","Defense....rankings.Defense.Rank","Record","SoS","Overall"
"Air Force",38,51,22.5,124,38
"Akron",17,111,62.5,66,64
"Alabama",6,9,22.5,60,2
"Appalachian State",75,19,106.5,34,52
"Arizona",58,37,62.5,49,43
"Arizona State",14,64,22.5,105,27
"Arkansas",62,39,22.5,20,28.5
"Arkansas State",87,107,164.5,23,112
"Army",81,58,22.5,110,66.5
"Auburn",55,18,106.5,3,33.5
"Ball State",103,63,62.5,112,87
"Baylor",41,53,22.5,122,41
"Boise State",15,38,22.5,76,14
"Boston College",105,49,106.5,29,84
"Bowling Green",110,121,106.5,11,115.5
"Buffalo",93,96,164.5,52,114
"BYU",67,32,106.5,5,51
"California",21,90,62.5,30,47
"Central Michigan",45,82,22.5,108,60
"Charlotte",109,116,106.5,35,115.5
"Cincinnati",61,34,62.5,48,42
"Clemson",36,7,22.5,40,8
"Colorado",8,33,62.5,25,13
"Colorado State",99,54,62.5,83,81
"Connecticut",112,15,62.5,82,69
"Duke",86,42,106.5,58,75
"East Carolina",70,109,62.5,89,93
"Eastern Michigan",107,91,62.5,103,103
"Florida",78,11,22.5,68,28.5
"Florida Atlantic",88,112,106.5,28,106
"Florida State",12,59,62.5,12,20
"Fresno State",47,118,106.5,39,89
"Georgia",76,35,22.5,17,32
"Georgia Southern",19,100,22.5,123,54
"Georgia State",80,86,164.5,2,101
"Georgia Tech",79,23,22.5,55,33.5
"Hawaii",69,105,127,13,97
"Houston",9,5,22.5,90,4
"Idaho",100,102,106.5,21,107
"Illinois",98,93,106.5,59,105
"Indiana",43,74,22.5,93,48
"Iowa",49,17,62.5,106,31
"Iowa State",97,80,164.5,56,110
"Kansas",111,56,106.5,100,98
"Kansas State",22,22,83.5,46,18
"Kent State",113,67,106.5,75,102
"Kentucky",50,115,106.5,74,96
"Louisiana Tech",82,79,106.5,80,95
"Louisville",2,30,22.5,64,7
"LSU",91,8,62.5,18,40
"Marshall",63,106,83.5,86,91.5
"Maryland",64,20,22.5,128,35
"Massachusetts",102,83,106.5,78,104
"Memphis",5,25,22.5,126,10
"Miami (OH)",57,84,164.5,41,94
"Michigan",4,3,22.5,33,1
"Michigan State",85,40,22.5,45,46
"Middle Tennessee",89,98,62.5,121,100
"Minnesota",37,66,22.5,79,39
"Mississippi State",24,101,106.5,84,76.5
"Missouri",30,61,106.5,73,57
"Navy",18,87,22.5,53,36
"Nebraska",40,10,22.5,50,11
"Nevada",118,45,62.5,71,82
"New Mexico",96,114,106.5,120,117
"New Mexico State",116,119,106.5,72,121
"North Carolina",46,76,62.5,62,62
"North Texas",94,108,106.5,98,111
"Northern Illinois",92,97,164.5,47,113
"Northwestern",60,29,106.5,9,45
"Notre Dame",20,95,106.5,38,66.5
"Ohio",31,89,106.5,87,74
"Ohio State",3,14,22.5,61,3
"Oklahoma",23,26,106.5,19,21
"Oklahoma State",68,65,62.5,57,68
"Old Dominion",101,81,106.5,125,108
"Ole Miss",7,46,106.5,10,22
"Oregon",11,52,62.5,27,19
"Oregon State",72,44,83.5,31,61
"Penn State",54,73,62.5,15,56
"Pittsburgh",28,94,62.5,26,53
"Purdue",65,85,83.5,99,85
"Rice",108,103,164.5,16,118
"Rutgers",104,57,62.5,36,78
"San Diego State",39,75,22.5,111,50
"San Jose State",117,113,106.5,77,120
"SMU",114,68,62.5,43,86
"South Alabama",120,4,106.5,107,80
"South Carolina",121,12,62.5,51,65
"South Florida",29,50,22.5,92,25
"Stanford",42,1,22.5,6,5
"Syracuse",35,92,106.5,32,72
"TCU",27,69,62.5,101,49
"Temple",90,77,106.5,104,99
"Tennessee",25,21,22.5,7,6
"Texas",51,78,62.5,85,70
"Texas A&M",13,31,22.5,42,9
"Texas State",74,110,83.5,8,88
"Texas Tech",1,120,62.5,88,63
"Toledo",84,13,22.5,127,44
"Troy",32,43,62.5,97,37
"Tulane",119,2,106.5,70,73
"Tulsa",83,72,62.5,69,79
"UCF",33,70,106.5,109,71
"UCLA",53,27,62.5,4,24
"UNLV",95,99,106.5,91,109
"USC",48,60,106.5,1,55
"Utah",73,55,22.5,102,58
"Utah State",106,71,62.5,96,91.5
"UTEP",115,117,106.5,65,119
"Vanderbilt",66,88,106.5,24,83
"Virginia",44,62,164.5,44,76.5
"Virginia Tech",16,36,62.5,37,16
"Wake Forest",59,41,22.5,14,26
"Washington",10,48,22.5,94,17
"Washington State",26,16,106.5,95,30
"West Virginia",34,24,22.5,22,12
"Western Kentucky",71,47,62.5,63,59
"Western Michigan",52,28,22.5,81,23
"Wisconsin",56,6,22.5,54,15
"Wyoming",77,104,62.5,67,90
