Here is this week's betting predictions.  Last week the model had its best showing of the season at 35-20 (63.6%)!  This brings the season total back up from 107-112 to 142-132 (52.2%). 

[](#f/)  Visitor Team|Visitor Spread|Visitor Cover %|[](#f/)  Home Team|Home Spread|Home Cover %
--|--|--|--|--|--|--|--
[](#f/kentstate) **Kent State**|**-2.5**|**52.6**|[](#f/bowlinggreen) Bowling Green|+2.5|47.4
[](#f/ohio) **Ohio**|**+1.5**|**59.5**|[](#f/centralmichigan) Central Michigan|-1.5|40.5
[](#f/northernillinois) **Northern Illinois**|**-1**|**59.3**|[](#f/easternmichigan) Eastern Michigan|+1|40.7
[](#f/ballstate) Ball State|+20.5|35.5|[](#f/toledo) **Toledo**|**-20.5**|**64.5**
[](#f/arkansasstate) Arkansas State|+8|28.3|[](#f/troy) **Troy**|**-8**|**71.7**
[](#f/louisville) **Louisville**|**-14.5**|**58.0**|[](#f/houston) Houston|+14.5|42.0
[](#f/memphis) **Memphis**|**-7**|**79.0**|[](#f/cincinnati) Cincinnati|+7|21.0
[](#f/unlv) UNLV|+28|25.2|[](#f/boisestate) **Boise State**|**-28**|**74.8**
[](#f/connecticut) **Connecticut**|**+7**|**72.3**|[](#f/bostoncollege) Boston College|-7|27.7
[](#f/ulm) Louisiana-Monroe|+25.5|26.3|[](#f/appalachianstate) **Appalachian State**|**-25.5**|**73.7**
[](#f/utep) **UTEP**|**+1.5**|**51.3**|[](#f/rice) Rice|-1.5|48.7
[](#f/miami) **Miami (FL)**|**-3**|**63.7**|[](#f/ncstate) North Carolina State|+3|36.3
[](#f/texastech) **Texas Tech**|**-3**|**55.4**|[](#f/iowastate) Iowa State|+3|44.6
[](#f/iowa) **Iowa**|**-9.5**|**67.4**|[](#f/illinois) Illinois|+9.5|32.6
[](#f/northwestern) **Northwestern**|**-1.5**|**64.6**|[](#f/minnesota) Minnesota|+1.5|35.4
[](#f/wisconsin) **Wisconsin**|**-27.5**|**73.1**|[](#f/purdue) Purdue|+27.5|26.9
[](#f/duke) Duke|+7.5|31.8|[](#f/pittsburgh) **Pittsburgh**|**-7.5**|**68.2**
[](#f/utsa) UTSA|+27|37.9|[](#f/texasam) **Texas A&M**|**-27**|**62.1**
[](#f/oklahoma) Oklahoma|-3|48.8|[](#f/westvirginia) **West Virginia**|**+3**|**51.2**
[](#f/middletennessee) **Middle Tennessee**|**-4**|**73.0**|[](#f/charlotte) Charlotte|+4|27.0
[](#f/umass) **Massachusetts**|**+30**|**52.7**|[](#f/byu) BYU|-30|47.3
[](#f/louisiana) **Louisiana-Lafayette**|**+23**|**61.3**|[](#f/georgia) Georgia|-23|38.7
[](#f/sandiegostate) San Diego State|-10|49.5|[](#f/wyoming) **Wyoming**|**+10**|**50.5**
[](#f/newmexico) New Mexico|+4.5|23.9|[](#f/coloradostate) **Colorado State**|**-4.5**|**76.1**
[](#f/indiana) Indiana|+23.5|19.8|[](#f/michigan) **Michigan**|**-23.5**|**80.2**
[](#f/virginiatech) **Virginia Tech**|**+1**|**58.9**|[](#f/notredame) Notre Dame|-1|41.1
