Team,Opponent,Score
Louisville Cardinals,Syracuse Orange,0.960448916
Washington Huskies,Portland State Vikings,0.958046134
Oklahoma State Cowboys,Southeastern Louisiana Lions,0.955880231
UNLV Rebels,Jackson State Tigers,0.954272177
Tulane Green Wave,Southern University Jaguars,0.951436966
Middle Tennessee Blue Raiders,Alabama A&M Bulldogs,0.949673282
Oklahoma Sooners,Louisiana-Monroe Warhawks,0.946930383
Boise State Broncos,Louisiana Ragin' Cajuns,0.946281382
Navy Midshipmen,Fordham Rams,0.943350883
Washington Huskies,Rutgers Scarlet Knights,0.940581511
Texas Tech Red Raiders,Stephen F. Austin Lumberjacks,0.939437271
Western Michigan Broncos,North Carolina Central Eagles,0.937108548
Maryland Terrapins,Howard Bison,0.936724116
Louisville Cardinals,Charlotte 49ers,0.936179194
Duke Blue Devils,North Carolina Central Eagles,0.933734756
Florida State Seminoles,Charleston Southern Buccaneers,0.933384862
Miami (FL) Hurricanes,Florida A&M Rattlers,0.932909751
Clemson Tigers,South Carolina State Bulldogs,0.929440953
Georgia Southern Eagles,Savannah State Tigers,0.928301533
Illinois Fighting Illini,Murray State Racers,0.927368956
Colorado Buffaloes,Colorado State Rams,0.925983926
Miami (FL) Hurricanes,Appalachian State Mountaineers,0.925952571
Baylor Bears,Northwestern State Demons,0.92574552
Memphis Tigers,Southeast Missouri State Redhawks,0.923094503
Eastern Michigan Eagles,Mississippi Valley State Delta Devils,0.923087291
Tulsa Golden Hurricane,North Carolina A&T Aggies,0.92278323
Kansas Jayhawks,Rhode Island Rams,0.921859119
Arkansas Razorbacks,Texas State Bobcats,0.921737117
Utah State Aggies,Weber State Wildcats,0.920757205
Iowa Hawkeyes,Miami (OH) RedHawks,0.917690956
Colorado Buffaloes,Idaho State Bengals,0.917407068
Washington Huskies,Idaho Vandals,0.914581589
Arizona Wildcats,Hawaii Warriors,0.912284656
Wyoming Cowboys,UC Davis Aggies,0.909983537
Marshall Thundering Herd,Morgan State Bears,0.909978784
Michigan Wolverines,UCF Knights,0.909437711
