Visitor.Team,Visitor.Score,Home.Team,Home.Score,Winner
Hawaii,68.1,Massachusetts,31.9,Hawaii
Oregon State,57,Colorado State,43,Colorado State
Portland State,1.6,BYU,98.4,BYU
USF,89.3,San Jose State,10.7,USF
Stanford,97.7,Rice,2.3,Stanford
FIU,7,UCF,93,UCF
Presbyterian,1.5,Wake Forest,98.5,Wake Forest
Austin Peay,1.5,Cincinnati,98.5,Cincinnati
Buffalo,2.8,Minnesota,97.2,Minnesota
Tennessee State,15.8,Georgia State,84.2,Georgia State
Elon,2.1,Toledo,97.9,Toledo
Rhode Island,1.8,Central Michigan,98.2,Central Michigan
Tulsa,3.8,Oklahoma State,96.2,Oklahoma State
Holy Cross,5.5,Connecticut,94.5,Connecticut
North Dakota,8.6,Utah,91.4,Utah
Ohio State,94.8,Indiana,5.2,Ohio State
Florida A&M,1.3,Arkansas,98.7,Arkansas
UL-Monroe,12.2,Memphis,87.8,Memphis
Sacramento State,11.9,Idaho,88.1,Idaho
New Mexico State,6.6,Arizona State,93.4,Arizona State
Fordham,3.5,Army,96.5,Army
Charlotte,17.3,Eastern Michigan,82.7,Eastern Michigan
Central Connecticut,2,Syracuse,98,Syracuse
Navy,91.3,FAU,8.7,Navy
Colorado State,11.3,Colorado,88.7,Colorado
Washington,95.9,Rutgers,4.1,Washington
Utah State,1.5,Wisconsin,98.5,Wisconsin
Boston College,65.2,Northern Illinois,34.8,Northern Illinois
Georgia Southern,4.9,Auburn,95.1,Auburn
Charleston Southern,1.7,Mississippi State,98.3,Mississippi State
Missouri State,3.6,Missouri,96.4,Missouri
VMI,2.2,Air Force,97.8,Air Force
Ball State,14.2,Illinois,85.8,Illinois
Wyoming,30.8,Iowa,69.2,Wyoming
Bowling Green,4.8,Michigan State,95.2,Michigan State
Akron,1.5,Penn State,98.5,Penn State
Maryland,16.8,Texas,83.2,Texas
Kent State,0.7,Clemson,99.3,Clemson
California,32.7,North Carolina,67.3,North Carolina
Lamar,8,North Texas,92,North Texas
Liberty,3,Baylor,97,Baylor
Bethune-Cookman,1,Miami (FL),99,Miami (FL)
Youngstown State,8,Pittsburgh,92,Pittsburgh
Portland State,5.5,Oregon State,94.5,Oregon State
NC State,54.2,South Carolina,45.8,NC State
Michigan,66.6,Florida,33.4,Michigan
Temple,18.3,Notre Dame,81.7,Notre Dame
UTEP,1.8,Oklahoma,98.2,Oklahoma
Nevada,10.3,Northwestern,89.7,Northwestern
William & Mary,7.5,Virginia,92.5,Virginia
Alabama A&M,18.4,UAB,81.6,UAB
Troy,14.9,Boise State,85.1,Boise State
Stony Brook,0.8,USF,99.2,USF
Eastern Washington,14.6,Texas Tech,85.4,Eastern Washington
Kentucky,81.5,Southern Miss,18.5,Kentucky
Western Michigan,4.3,USC,95.7,USC
NC Central,3,Duke,97,Duke
James Madison,24.2,East Carolina,75.8,East Carolina
Albany,7.8,Old Dominion,92.2,Old Dominion
Appalachian State,15.9,Georgia,84.1,Georgia
Miami (OH),47.6,Marshall,52.4,Marshall
Northwestern State,3.5,Louisiana Tech,96.5,Louisiana Tech
Houston,92.4,UTSA,7.6,Houston
Eastern Kentucky,6.9,Western Kentucky,93.1,Western Kentucky
Massachusetts,43.7,Coastal Carolina,56.3,Coastal Carolina
SE Missouri State,5.4,Kansas,94.6,Kansas
Stephen F. Austin,3.5,SMU,96.5,SMU
Grambling,6.7,Tulane,93.3,Tulane
Hampton,1.9,Ohio,98.1,Ohio
South Alabama,5.2,Ole Miss,94.8,Ole Miss
Houston Baptist,3.5,Texas State,96.5,Houston Baptist
Central Arkansas,2.9,Kansas State,97.1,Kansas State
Louisville,93.8,Purdue,6.2,Louisville
Arkansas State,2.5,Nebraska,97.5,Nebraska
Northern Iowa,16.9,Iowa State,83.1,Iowa State
Jackson State,0.7,TCU,99.3,TCU
Florida State,32,Alabama,68,Alabama
Vanderbilt,79.2,Middle Tennessee,20.8,Vanderbilt
Southern Utah,1.2,Oregon,98.8,Oregon
UC Davis,4.5,San Diego State,95.5,San Diego State
Howard,2.7,UNLV,97.3,UNLV
BYU,9.3,LSU,90.7,LSU
Montana State,5.9,Washington State,94.1,Washington State
Northern Arizona,2,Arizona,98,Arizona
Abilene Christian,3.2,New Mexico,96.8,New Mexico
Incarnate Word,2.2,Fresno State,97.8,Fresno State
SE Louisiana,5,UL-Lafayette,95,UL-Lafayette
Western Carolina,5.7,Hawaii,94.3,Hawaii
Cal Poly,6.3,San Jose State,93.7,San Jose State
Texas A&M,56.3,UCLA,43.7,UCLA
West Virginia,45.6,Virginia Tech,54.4,West Virginia
Tennessee,57.5,Georgia Tech,42.5,Georgia Tech
Idaho State,10.9,Utah State,89.1,Utah State
Oklahoma State,97.1,South Alabama,2.9,Oklahoma State
Ohio,39.8,Purdue,60.2,Ohio
Northwestern,69.6,Duke,30.4,Northwestern
Louisville,84,North Carolina,16,Louisville
Jacksonville State,4.1,Georgia Tech,95.9,Jacksonville State
Wake Forest,65.7,Boston College,34.3,Wake Forest
Indiana,61.2,Virginia,38.8,Virginia
Middle Tennessee,21.9,Syracuse,78.1,Syracuse
Delaware,1.8,Virginia Tech,98.2,Virginia Tech
Marshall,7.3,NC State,92.7,NC State
Auburn,30.7,Clemson,69.3,Clemson
UL-Monroe,1.8,Florida State,98.2,Florida State
USF,92.8,Connecticut,7.2,USF
Villanova,7.5,Temple,92.5,Temple
Tulane,10.1,Navy,89.9,Navy
UL-Lafayette,28.4,Tulsa,71.6,Tulsa
North Texas,13.7,SMU,86.3,SMU
Memphis,47.8,UCF,52.2,UCF
Charlotte,1.2,Kansas State,98.8,Kansas State
Iowa,74.6,Iowa State,25.4,Iowa
East Carolina,7.7,West Virginia,92.3,West Virginia
San Jose State,5.9,Texas,94.1,Texas
Central Michigan,53.7,Kansas,46.3,Central Michigan
UTSA,9.7,Baylor,90.3,Baylor
Towson,1.5,Maryland,98.5,Maryland
Cincinnati,7.4,Michigan,92.6,Michigan
FAU,2.4,Wisconsin,97.6,Wisconsin
Western Michigan,18.6,Michigan State,81.4,Michigan State
Pittsburgh,23.7,Penn State,76.3,Penn State
Eastern Michigan,40.7,Rutgers,59.3,Rutgers
Oklahoma,31.1,Ohio State,68.9,Ohio State
Western Kentucky,46.6,Illinois,53.4,Western Kentucky
Alcorn State,12.7,FIU,87.3,FIU
Southern,6.2,Southern Miss,93.8,Southern Miss
Mississippi State,76.1,Louisiana Tech,23.9,Mississippi State
Rice,43,UTEP,57,UTEP
Old Dominion,76,Massachusetts,24,Old Dominion
Buffalo,8.8,Army,91.2,Army
Georgia,72.8,Notre Dame,27.2,Georgia
Utah,67.9,BYU,32.1,Utah
UAB,52.2,Ball State,47.8,Ball State
Austin Peay,4.7,Miami (OH),95.3,Miami (OH)
Eastern Illinois,1.6,Northern Illinois,98.4,Northern Illinois
Howard,5,Kent State,95,Kent State
South Dakota,26.6,Bowling Green,73.4,Bowling Green
UA-Pine Bluff,5.3,Akron,94.7,Akron
Abilene Christian,2.5,Colorado State,97.5,Colorado State
Gardner-Webb,1.9,Wyoming,98.1,Wyoming
New Mexico State,22.6,New Mexico,77.4,New Mexico
Toledo,65.4,Nevada,34.6,Nevada
Texas State,1.2,Colorado,98.8,Colorado
Nebraska,56,Oregon,44,Oregon
Hawaii,8.5,UCLA,91.5,UCLA
Weber State,1.2,California,98.8,California
Montana,3.9,Washington,96.1,Washington
Stanford,34.1,USC,65.9,USC
Minnesota,75.2,Oregon State,24.8,Oregon State
Houston,62.8,Arizona,37.2,Arizona
Boise State,44.9,Washington State,55.1,Washington State
San Diego State,38.8,Arizona State,61.2,Arizona State
Northern Colorado,3.3,Florida,96.7,Florida
Eastern Kentucky,5.7,Kentucky,94.3,Kentucky
Chattanooga,3,LSU,97,LSU
UT-Martin,4.2,Ole Miss,95.8,Ole Miss
Indiana State,2.4,Tennessee,97.6,Tennessee
Alabama A&M,5.1,Vanderbilt,94.9,Vanderbilt
Fresno State,4.8,Alabama,95.2,Alabama
TCU,68,Arkansas,32,Arkansas
South Carolina,61.7,Missouri,38.3,South Carolina
Nicholls,3.6,Texas A&M,96.4,Texas A&M
Miami (FL),90.5,Arkansas State,9.5,Miami (FL)
Savannah State,1.9,Appalachian State,98.1,Appalachian State
New Hampshire,6.3,Georgia Southern,93.7,Georgia Southern
Alabama State,7.5,Troy,92.5,Troy
UNLV,54.2,Idaho,45.8,UNLV
New Mexico,11.5,Boise State,88.5,Boise State
Illinois,15.1,USF,84.9,USF
Massachusetts,7.4,Temple,92.6,Temple
Arizona,89.3,UTEP,10.7,Arizona
Oklahoma State,84.2,Pittsburgh,15.8,Oklahoma State
Notre Dame,82.2,Boston College,17.8,Notre Dame
Connecticut,22,Virginia,78,Connecticut
Furman,2.3,NC State,97.4,NC State
Baylor,64.2,Duke,35.8,Duke
Utah State,18.8,Wake Forest,81.2,Wake Forest
Central Michigan,38.2,Syracuse,61.8,Syracuse
Clemson,57.6,Louisville,42.4,Clemson
Miami (FL),17.4,Florida State,82.6,Florida State
UCLA,83.5,Memphis,16.5,UCLA
Virginia Tech,88.5,East Carolina,11.5,Virginia Tech
Georgia Tech,66.2,UCF,33.8,UCF
Rice,3.9,Houston,96.1,Rice
Delaware State,2.6,West Virginia,97.4,West Virginia
SMU,11,TCU,89,SMU
Tulane,3.4,Oklahoma,96.6,Oklahoma
Arizona State,53.6,Texas Tech,46.4,Arizona State
Air Force,4.7,Michigan,95.3,Michigan
Northern Illinois,7.1,Nebraska,92.9,Nebraska
Middle Tennessee,9,Minnesota,91,Middle Tennessee
FIU,14,Indiana,86,Indiana
North Texas,2.6,Iowa,97.4,Iowa
Morgan State,10.5,Rutgers,89.5,Rutgers
Army,6.8,Ohio State,93.2,Ohio State
Bowling Green,6.3,Northwestern,93.7,Northwestern
Georgia State,4.9,Penn State,95.1,Penn State
Coastal Carolina,48.5,UAB,51.5,UAB
Southern,18.4,UTSA,81.6,UTSA
North Carolina,81.5,Old Dominion,18.5,North Carolina
North Carolina A&T,21.3,Charlotte,78.7,Charlotte
Kent State,23.6,Marshall,76.4,Marshall
Louisiana Tech,23.2,Western Kentucky,76.8,Western Kentucky
Bethune-Cookman,9.3,FAU,90.7,FAU
Wisconsin,89.2,BYU,10.8,Wisconsin
Iowa State,83.5,Akron,16.5,Iowa State
Kansas,50.8,Ohio,49.2,Kansas
Tennessee Tech,12.6,Ball State,87.4,Tennessee Tech
Colgate,13.5,Buffalo,86.5,Buffalo
Tulsa,47.8,Toledo,52.2,Tulsa
Idaho,29.9,Western Michigan,70.1,Western Michigan
Cincinnati,79,Miami (OH),21,Cincinnati
Idaho State,4.4,Nevada,95.6,Nevada
Oregon,73.1,Wyoming,26.9,Oregon
Stanford,88.9,San Diego State,11.1,Stanford
Northern Colorado,2.1,Colorado,97.9,Colorado
Oregon State,14.2,Washington State,85.8,Washington State
Texas,20.8,USC,79.2,USC
Fresno State,2.1,Washington,97.9,Washington
San Jose State,3.5,Utah,96.5,Utah
Ole Miss,71.4,California,28.6,Ole Miss
Mercer,4,Auburn,96,Auburn
Samford,3.4,Georgia,96.6,Georgia
Purdue,24.3,Missouri,75.7,Missouri
Kentucky,45.1,South Carolina,54.9,Kentucky
UL-Lafayette,7.4,Texas A&M,92.6,Texas A&M
Tennessee,28.1,Florida,71.9,Florida
Colorado State,7.1,Alabama,92.9,Alabama
LSU,80.7,Mississippi State,19.3,LSU
Kansas State,80.6,Vanderbilt,19.4,Kansas State
Appalachian State,89.3,Texas State,10.7,Appalachian State
UA-Pine Bluff,8.3,Arkansas State,91.7,Arkansas State
Alabama A&M,13.3,South Alabama,86.7,South Alabama
Southern Miss,77.6,UL-Monroe,22.4,Southern Miss
Troy,82,New Mexico State,18,Troy
Temple,17.8,USF,82.2,USF
Virginia,16.7,Boise State,83.3,Boise State
